A one-dimensional setting of the electrical breakdown problem

L = 3.2e-5
T = 2e-2
adaptation_type = 1
delta = 0.001
dt_max = 6e-6
l = 1.5e-06
m = 12
q = 5e-10
t_grid = 10000000
t_skip = 8192
tol_energy = 1.5e-10
tol_phi = 1e-5
tol_stability = 1.1e-2
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.002 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00
eps_0_mean = 2.37290625e-11
Gamma_mean = 8.37161325e-10

13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99997290e-01;9.99773010e-01;9.99266713e-01;9.98663110e-01;9.98182415e-01;9.98000000e-01;9.98182415e-01;9.98663110e-01;9.99266713e-01;9.99773010e-01;9.99997290e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.69641138e-04;6.96633974e-10;1.65888784e-08;6.78564554e+05
13;6871;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999990e-01;9.99999820e-01;9.99997166e-01;9.99963653e-01;9.99638630e-01;9.97413585e-01;9.88178034e-01;9.70851752e-01;9.50878261e-01;9.35333838e-01;9.29515204e-01;9.35333838e-01;9.50878261e-01;9.70851752e-01;9.88178034e-01;9.97413585e-01;9.99638630e-01;9.99963653e-01;9.99997166e-01;9.99999820e-01;9.99999990e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8.89921728e-05;8.02190180e-07;2.01450596e-05;3.55968691e+05
13;3415;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999958e-01;9.99999523e-01;9.99995328e-01;9.99961081e-01;9.99731422e-01;9.98517115e-01;9.93739961e-01;9.80850409e-01;9.59005380e-01;9.33802228e-01;9.13838556e-01;9.06276568e-01;9.13838556e-01;9.33802228e-01;9.59005380e-01;9.80850409e-01;9.93739961e-01;9.98517115e-01;9.99731422e-01;9.99961081e-01;9.99995328e-01;9.99999523e-01;9.99999958e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6.46523943e-05;1.33294201e-06;3.56205767e-05;2.58609577e+05
13;553;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999949e-01;9.99999554e-01;9.99996546e-01;9.99976575e-01;9.99863304e-01;9.99327611e-01;9.97279217e-01;9.91185280e-01;9.77694387e-01;9.56246116e-01;9.31442733e-01;9.11407518e-01;9.03709770e-01;9.11407518e-01;9.31442733e-01;9.56246116e-01;9.77694387e-01;9.91185280e-01;9.97279217e-01;9.99327611e-01;9.99863304e-01;9.99976575e-01;9.99996546e-01;9.99999554e-01;9.99999949e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6.17830145e-05;1.33875954e-06;3.82475474e-05;2.47132058e+05
13;256;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999959e-01;9.99999692e-01;9.99997929e-01;9.99987590e-01;9.99934411e-01;9.99698439e-01;9.98812297e-01;9.96058747e-01;9.89155356e-01;9.75547448e-01;9.54893505e-01;9.31097267e-01;9.11656048e-01;9.04114546e-01;9.11656048e-01;9.31097267e-01;9.54893505e-01;9.75547448e-01;9.89155356e-01;9.96058747e-01;9.98812297e-01;9.99698439e-01;9.99934411e-01;9.99987590e-01;9.99997929e-01;9.99999692e-01;9.99999959e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;6.13008651e-05;1.27366274e-06;3.87380756e-05;2.45203460e+05
13;256;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999972e-01;9.99999813e-01;9.99998861e-01;9.99993724e-01;9.99968961e-01;9.99863579e-01;9.99472840e-01;9.98229151e-01;9.94885461e-01;9.87418283e-01;9.73796318e-01;9.53849886e-01;9.31043893e-01;9.12325761e-01;9.05026303e-01;9.12325761e-01;9.31043893e-01;9.53849886e-01;9.73796318e-01;9.87418283e-01;9.94885461e-01;9.98229151e-01;9.99472840e-01;9.99863579e-01;9.99968961e-01;9.99993724e-01;9.99998861e-01;9.99999813e-01;9.99999972e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;6.11958214e-05;1.20579264e-06;3.88687089e-05;2.44783286e+05
13;256;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999983e-01;9.99999894e-01;9.99999401e-01;9.99996896e-01;9.99985369e-01;9.99937750e-01;9.99762852e-01;9.99197742e-01;9.97609476e-01;9.93770896e-01;9.85884502e-01;9.72282645e-01;9.52935777e-01;9.31028660e-01;9.13047550e-01;9.06020600e-01;9.13047550e-01;9.31028660e-01;9.52935777e-01;9.72282645e-01;9.85884502e-01;9.93770896e-01;9.97609476e-01;9.99197742e-01;9.99762852e-01;9.99937750e-01;9.99985369e-01;9.99996896e-01;9.99999401e-01;9.99999894e-01;9.99999983e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;6.11576665e-05;1.14420003e-06;3.89333530e-05;2.44630666e+05
13;256;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999990e-01;9.99999943e-01;9.99999694e-01;9.99998484e-01;9.99993111e-01;9.99971401e-01;9.99892248e-01;9.99633878e-01;9.98885126e-01;9.96974816e-01;9.92718997e-01;9.84509472e-01;9.70946038e-01;9.52117377e-01;9.31021866e-01;9.13756073e-01;9.07008781e-01;9.13756073e-01;9.31021866e-01;9.52117377e-01;9.70946038e-01;9.84509472e-01;9.92718997e-01;9.96974816e-01;9.98885126e-01;9.99633878e-01;9.99892248e-01;9.99971401e-01;9.99993111e-01;9.99998484e-01;9.99999694e-01;9.99999943e-01;9.99999990e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;6.11347113e-05;1.08923977e-06;3.89815982e-05;2.44538845e+05
13;154;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999970e-01;9.99999846e-01;9.99999266e-01;9.99996757e-01;9.99986796e-01;9.99950683e-01;9.99831926e-01;9.99479944e-01;9.98545776e-01;9.96339384e-01;9.91729261e-01;9.83264930e-01;9.69752636e-01;9.51383214e-01;9.31024587e-01;9.14438027e-01;9.07965216e-01;9.14438027e-01;9.31024587e-01;9.51383214e-01;9.69752636e-01;9.83264930e-01;9.91729261e-01;9.96339384e-01;9.98545776e-01;9.99479944e-01;9.99831926e-01;9.99950683e-01;9.99986796e-01;9.99996757e-01;9.99999266e-01;9.99999846e-01;9.99999970e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;6.11174909e-05;1.04013600e-06;3.90225953e-05;2.44469963e+05
13;128;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999985e-01;9.99999924e-01;9.99999646e-01;9.99998473e-01;9.99993878e-01;9.99977298e-01;9.99922467e-01;9.99757130e-01;9.99304916e-01;9.98188548e-01;9.95712301e-01;9.90799155e-01;9.82130951e-01;9.68679530e-01;9.50725234e-01;9.31039520e-01;9.15090106e-01;9.08879891e-01;9.15090106e-01;9.31039520e-01;9.50725234e-01;9.68679530e-01;9.82130951e-01;9.90799155e-01;9.95712301e-01;9.98188548e-01;9.99304916e-01;9.99757130e-01;9.99922467e-01;9.99977298e-01;9.99993878e-01;9.99998473e-01;9.99999646e-01;9.99999924e-01;9.99999985e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;6.11037928e-05;9.96097709e-07;3.90585527e-05;2.44415171e+05
