A one-dimensional setting of the electrical breakdown problem

L = 3.2e-5
T = 2e-2
adaptation_type = 1
delta = 0.001
dt_max = 6e-6
l = 1.5e-06
m = 12
q = 2.5e-10
t_grid = 10000000
t_skip = 8192
tol_energy = 1.5e-10
tol_phi = 1e-5
tol_stability = 1.1e-2
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.002 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00
eps_0_mean = 2.37290625e-11
Gamma_mean = 8.37161325e-10

13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99997290e-01;9.99773010e-01;9.99266713e-01;9.98663110e-01;9.98182415e-01;9.98000000e-01;9.98182415e-01;9.98663110e-01;9.99266713e-01;9.99773010e-01;9.99997290e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4.24102846e-05;6.96633974e-10;1.65888784e-08;3.39282277e+05
13;261;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999991e-01;9.99999856e-01;9.99998131e-01;9.99981269e-01;9.99865097e-01;9.99379433e-01;9.98453574e-01;9.97361575e-01;9.96492545e-01;9.96162753e-01;9.96492545e-01;9.97361575e-01;9.98453574e-01;9.99379433e-01;9.99865097e-01;9.99981269e-01;9.99998131e-01;9.99999856e-01;9.99999991e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4.23242954e-05;2.38001609e-09;6.34195601e-08;3.38594363e+05
13;501;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999964e-01;9.99999642e-01;9.99996998e-01;9.99979176e-01;9.99884590e-01;9.99511758e-01;9.98506503e-01;9.96805892e-01;9.94845964e-01;9.93292368e-01;9.92703115e-01;9.93292368e-01;9.94845964e-01;9.96805892e-01;9.98506503e-01;9.99511758e-01;9.99884590e-01;9.99979176e-01;9.99996998e-01;9.99999642e-01;9.99999964e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4.20059554e-05;8.07501914e-09;2.38069172e-07;3.36047643e+05
13;927;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999993e-01;9.99999935e-01;9.99999492e-01;9.99996547e-01;9.99979798e-01;9.99900508e-01;9.99597849e-01;9.98703804e-01;9.96755548e-01;9.93736422e-01;9.90348927e-01;9.87682458e-01;9.86672648e-01;9.87682458e-01;9.90348927e-01;9.93736422e-01;9.96755548e-01;9.98703804e-01;9.99597849e-01;9.99900508e-01;9.99979798e-01;9.99996547e-01;9.99999492e-01;9.99999935e-01;9.99999993e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4.09717092e-05;2.54804433e-08;8.21891814e-07;3.27773674e+05
13;1024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999989e-01;9.99999920e-01;9.99999464e-01;9.99996784e-01;9.99982992e-01;9.99921852e-01;9.99693104e-01;9.98988619e-01;9.97253912e-01;9.93939952e-01;9.89133992e-01;9.83878993e-01;9.79776628e-01;9.78226272e-01;9.79776628e-01;9.83878993e-01;9.89133992e-01;9.93939952e-01;9.97253912e-01;9.98988619e-01;9.99693104e-01;9.99921852e-01;9.99982992e-01;9.99996784e-01;9.99999464e-01;9.99999920e-01;9.99999989e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3.86156249e-05;6.47544941e-08;2.26008925e-06;3.08924999e+05
13;1024;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999989e-01;9.99999929e-01;9.99999567e-01;9.99997616e-01;9.99988218e-01;9.99948309e-01;9.99801018e-01;9.99336462e-01;9.98108261e-01;9.95443083e-01;9.90793200e-01;9.84381450e-01;9.77523148e-01;9.72209114e-01;9.70204471e-01;9.72209114e-01;9.77523148e-01;9.84381450e-01;9.90793200e-01;9.95443083e-01;9.98108261e-01;9.99336462e-01;9.99801018e-01;9.99948309e-01;9.99988218e-01;9.99997616e-01;9.99999567e-01;9.99999929e-01;9.99999989e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;3.56239204e-05;1.16112489e-07;4.34680814e-06;2.84991363e+05
13;760;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999992e-01;9.99999950e-01;9.99999717e-01;9.99998536e-01;9.99993107e-01;9.99970744e-01;9.99889020e-01;9.99627266e-01;9.98902432e-01;9.97192837e-01;9.93811652e-01;9.88290545e-01;9.80965509e-01;9.73268627e-01;9.67341506e-01;9.65108646e-01;9.67341506e-01;9.73268627e-01;9.80965509e-01;9.88290545e-01;9.93811652e-01;9.97192837e-01;9.98902432e-01;9.99627266e-01;9.99889020e-01;9.99970744e-01;9.99993107e-01;9.99998536e-01;9.99999717e-01;9.99999950e-01;9.99999992e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;3.34158556e-05;1.53241403e-07;6.11801616e-06;2.67326844e+05
13;362;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999970e-01;9.99999837e-01;9.99999195e-01;9.99996347e-01;9.99984878e-01;9.99943274e-01;9.99808580e-01;9.99423295e-01;9.98460246e-01;9.96381042e-01;9.92550165e-01;9.86603281e-01;9.78950507e-01;9.71028869e-01;9.64963053e-01;9.62681241e-01;9.64963053e-01;9.71028869e-01;9.78950507e-01;9.86603281e-01;9.92550165e-01;9.96381042e-01;9.98460246e-01;9.99423295e-01;9.99808580e-01;9.99943274e-01;9.99984878e-01;9.99996347e-01;9.99999195e-01;9.99999837e-01;9.99999970e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;3.22127855e-05;1.69412273e-07;7.18313173e-06;2.57702284e+05
13;162;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999983e-01;9.99999912e-01;9.99999582e-01;9.99998155e-01;9.99992511e-01;9.99972150e-01;9.99905699e-01;9.99711005e-01;9.99203191e-01;9.98034501e-01;9.95683001e-01;9.91586531e-01;9.85478429e-01;9.77814207e-01;9.69986296e-01;9.64026867e-01;9.61789249e-01;9.64026867e-01;9.69986296e-01;9.77814207e-01;9.85478429e-01;9.91586531e-01;9.95683001e-01;9.98034501e-01;9.99203191e-01;9.99711005e-01;9.99905699e-01;9.99972150e-01;9.99992511e-01;9.99998155e-01;9.99999582e-01;9.99999912e-01;9.99999983e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;3.16325721e-05;1.72190872e-07;7.72626374e-06;2.53060577e+05
13;128;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999991e-01;9.99999954e-01;9.99999788e-01;9.99999088e-01;9.99996356e-01;9.99986543e-01;9.99954321e-01;9.99858155e-01;9.99599045e-01;9.98973137e-01;9.97627336e-01;9.95070799e-01;9.90815750e-01;9.84678450e-01;9.77142699e-01;9.69541072e-01;9.63789120e-01;9.61634415e-01;9.63789120e-01;9.69541072e-01;9.77142699e-01;9.84678450e-01;9.90815750e-01;9.95070799e-01;9.97627336e-01;9.98973137e-01;9.99599045e-01;9.99858155e-01;9.99954321e-01;9.99986543e-01;9.99996356e-01;9.99999088e-01;9.99999788e-01;9.99999954e-01;9.99999991e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;3.13634815e-05;1.68724689e-07;7.98607298e-06;2.50907852e+05
13;102;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999995e-01;9.99999977e-01;9.99999894e-01;9.99999554e-01;9.99998238e-01;9.99993533e-01;9.99978004e-01;9.99930972e-01;9.99800954e-01;9.99474725e-01;9.98736067e-01;9.97235675e-01;9.94518708e-01;9.90165460e-01;9.84060720e-01;9.76706619e-01;9.69374560e-01;9.63861588e-01;9.61801920e-01;9.63861588e-01;9.69374560e-01;9.76706619e-01;9.84060720e-01;9.90165460e-01;9.94518708e-01;9.97235675e-01;9.98736067e-01;9.99474725e-01;9.99800954e-01;9.99930972e-01;9.99978004e-01;9.99993533e-01;9.99998238e-01;9.99999554e-01;9.99999894e-01;9.99999977e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;3.12380348e-05;1.62906150e-07;8.10985382e-06;2.49904278e+05
13;64;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999997e-01;9.99999988e-01;9.99999948e-01;9.99999782e-01;9.99999150e-01;9.99996895e-01;9.99989423e-01;9.99966516e-01;9.99901859e-01;9.99734577e-01;9.99339787e-01;9.98493954e-01;9.96856890e-01;9.94010219e-01;9.89594401e-01;9.83550791e-01;9.76393636e-01;9.69336449e-01;9.64064053e-01;9.62099942e-01;9.64064053e-01;9.69336449e-01;9.76393636e-01;9.83550791e-01;9.89594401e-01;9.94010219e-01;9.96856890e-01;9.98493954e-01;9.99339787e-01;9.99734577e-01;9.99901859e-01;9.99966516e-01;9.99989423e-01;9.99996895e-01;9.99999150e-01;9.99999782e-01;9.99999948e-01;9.99999988e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;3.11773447e-05;1.56477721e-07;8.17113182e-06;2.49418758e+05
13;64;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999994e-01;9.99999974e-01;9.99999894e-01;9.99999590e-01;9.99998508e-01;9.99994910e-01;9.99983770e-01;9.99951777e-01;9.99866890e-01;9.99659632e-01;9.99195846e-01;9.98248509e-01;9.96489598e-01;9.93535772e-01;9.89080129e-01;9.83111000e-01;9.76150481e-01;9.69358510e-01;9.64316391e-01;9.62443653e-01;9.64316391e-01;9.69358510e-01;9.76150481e-01;9.83111000e-01;9.89080129e-01;9.93535772e-01;9.96489598e-01;9.98248509e-01;9.99195846e-01;9.99659632e-01;9.99866890e-01;9.99951777e-01;9.99983770e-01;9.99994910e-01;9.99998508e-01;9.99999590e-01;9.99999894e-01;9.99999974e-01;9.99999994e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;3.11458353e-05;1.50145172e-07;8.20393945e-06;2.49166682e+05
