A one-dimensional setting of the electrical breakdown problem

adaptation_type = 0
delta = 0.001
dt_max = 6e-6
duration = 2e-3
l = 1.5e-06
m = 12
q = 20e-9
t_grid = 1000000
t_skip = 512
tol_energy = 1.5e-10
tol_phi = 1.4e-5
tol_stability = 1.1e-2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.88952753e-01;4.35396234e-07;9.82332175e-06
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999673e-01;9.99961181e-01;9.97168041e-01;9.11335510e-01;7.59723591e-01;6.28147253e-01;5.48588149e-01;5.22710173e-01;5.48588149e-01;6.28147253e-01;7.59723591e-01;9.11335510e-01;9.97168041e-01;9.99961181e-01;9.99999673e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-7.41638184e-03;4.06166600e-05;6.13562523e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999974e-01;9.99997706e-01;9.99854389e-01;9.94046434e-01;8.82516578e-01;6.99794184e-01;5.53268247e-01;4.70001261e-01;4.43772969e-01;4.70001261e-01;5.53268247e-01;6.99794184e-01;8.82516578e-01;9.94046434e-01;9.99854389e-01;9.99997706e-01;9.99999974e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-5.62994054e-03;5.55238783e-05;7.71180909e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999874e-01;9.99992507e-01;9.99669927e-01;9.90447837e-01;8.60630856e-01;6.58536348e-01;5.04450968e-01;4.20341583e-01;3.94396879e-01;4.20341583e-01;5.04450968e-01;6.58536348e-01;8.60630856e-01;9.90447837e-01;9.99669927e-01;9.99992507e-01;9.99999874e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.84194755e-03;6.60192667e-05;8.69299711e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99999614e-01;9.99982386e-01;9.99401958e-01;9.86505537e-01;8.42306891e-01;6.26339043e-01;4.67655117e-01;3.83633889e-01;3.58130216e-01;3.83633889e-01;4.67655117e-01;6.26339043e-01;8.42306891e-01;9.86505537e-01;9.99401958e-01;9.99982386e-01;9.99999614e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.37388585e-03;7.42478265e-05;9.40213986e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999980e-01;9.99999073e-01;9.99965646e-01;9.99047754e-01;9.82312009e-01;8.26277410e-01;5.99684547e-01;4.37954959e-01;3.54421071e-01;3.29402146e-01;3.54421071e-01;4.37954959e-01;5.99684547e-01;8.26277410e-01;9.82312009e-01;9.99047754e-01;9.99965646e-01;9.99999073e-01;9.99999980e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.05554247e-03;8.10368378e-05;9.95381350e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999952e-01;9.99998102e-01;9.99940649e-01;9.98606772e-01;9.77935190e-01;8.11896692e-01;5.76831616e-01;4.12991760e-01;3.30138980e-01;3.05610757e-01;3.30138980e-01;4.12991760e-01;5.76831616e-01;8.11896692e-01;9.77935190e-01;9.98606772e-01;9.99940649e-01;9.99998102e-01;9.99999952e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.82132083e-03;8.68098733e-05;1.04027896e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999897e-01;9.99996524e-01;9.99905853e-01;9.98080055e-01;9.73426919e-01;7.98779568e-01;5.56773316e-01;3.91438666e-01;3.09366344e-01;2.85320416e-01;3.09366344e-01;3.91438666e-01;5.56773316e-01;7.98779568e-01;9.73426919e-01;9.98080055e-01;9.99905853e-01;9.99996524e-01;9.99999897e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.63986502e-03;9.18185610e-05;1.07796804e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999804e-01;9.99994139e-01;9.99859846e-01;9.97469788e-01;9.68827672e-01;7.86672687e-01;5.38868179e-01;3.72470057e-01;2.91229330e-01;2.67651663e-01;2.91229330e-01;3.72470057e-01;5.38868179e-01;7.86672687e-01;9.68827672e-01;9.97469788e-01;9.99859846e-01;9.99994139e-01;9.99999804e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.49405185e-03;9.62270134e-05;1.11033657e-03
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999989e-01;9.99999653e-01;9.99990728e-01;9.99801356e-01;9.96778987e-01;9.64169515e-01;7.75397941e-01;5.22679465e-01;3.55535070e-01;2.75150670e-01;2.52025243e-01;2.75150670e-01;3.55535070e-01;5.22679465e-01;7.75397941e-01;9.64169515e-01;9.96778987e-01;9.99801356e-01;9.99990728e-01;9.99999653e-01;9.99999989e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.37363600e-03;1.00149383e-04;1.13863128e-03
