A one-dimensional setting of the electrical breakdown problem

adaptation_type = 0
delta = 0.001
dt_max = 6e-6
duration = 2e-3
l = 1.5e-06
m = 12
q = 20e-9
t_grid = 1000000
t_skip = 2048
tol_energy = 1.5e-10
tol_phi = 1.4e-5
tol_stability = 1.1e-2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.88952753e-01;4.35396234e-07;9.82332175e-06;1.40456292e+07;inf;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99999614e-01;9.99982386e-01;9.99401958e-01;9.86505537e-01;8.42306891e-01;6.26339043e-01;4.67655117e-01;3.83633889e-01;3.58130216e-01;3.83633889e-01;4.67655117e-01;6.26339043e-01;8.42306891e-01;9.86505537e-01;9.99401958e-01;9.99982386e-01;9.99999614e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.37388585e-03;7.42478265e-05;9.40213986e-04;3.19488803e+04;4.36430555e+02;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999804e-01;9.99994139e-01;9.99859846e-01;9.97469788e-01;9.68827672e-01;7.86672687e-01;5.38868179e-01;3.72470057e-01;2.91229330e-01;2.67651663e-01;2.91229330e-01;3.72470057e-01;5.38868179e-01;7.86672687e-01;9.68827672e-01;9.97469788e-01;9.99859846e-01;9.99994139e-01;9.99999804e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.49405185e-03;9.62270134e-05;1.11033657e-03;1.74553256e+04;1.62230430e+02;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999943e-01;9.99998622e-01;9.99971966e-01;9.99540592e-01;9.94261252e-01;9.50073648e-01;7.45398029e-01;4.81667114e-01;3.13548399e-01;2.35757916e-01;2.13892477e-01;2.35757916e-01;3.13548399e-01;4.81667114e-01;7.45398029e-01;9.50073648e-01;9.94261252e-01;9.99540592e-01;9.99971966e-01;9.99998622e-01;9.99999943e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.10911448e-03;1.09736958e-04;1.20660606e-03;1.19687035e+04;9.09760475e+01;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999987e-01;9.99999714e-01;9.99994702e-01;9.99917817e-01;9.98967814e-01;9.90025469e-01;9.31541233e-01;7.11690539e-01;4.38769596e-01;2.71121805e-01;1.96678637e-01;1.76291871e-01;1.96678637e-01;2.71121805e-01;4.38769596e-01;7.11690539e-01;9.31541233e-01;9.90025469e-01;9.98967814e-01;9.99917817e-01;9.99994702e-01;9.99999714e-01;9.99999987e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.88200838e-03;1.19057743e-04;1.27300001e-03;9.27826992e+03;6.04619225e+01;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999944e-01;9.99999027e-01;9.99985436e-01;9.99816605e-01;9.98120657e-01;9.85038600e-01;9.13762010e-01;6.82805110e-01;4.04418758e-01;2.38404931e-01;1.67112072e-01;1.48015255e-01;1.67112072e-01;2.38404931e-01;4.04418758e-01;6.82805110e-01;9.13762010e-01;9.85038600e-01;9.98120657e-01;9.99816605e-01;9.99985436e-01;9.99999027e-01;9.99999944e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.72826290e-03;1.25846188e-04;1.32369058e-03;7.60101024e+03;4.41685985e+01;0.00000000e+00;2.00000000e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999989e-01;9.99999824e-01;9.99997436e-01;9.99967673e-01;9.99656080e-01;9.97005969e-01;9.79546956e-01;8.96929072e-01;6.57310712e-01;3.75836446e-01;2.12184965e-01;1.43840999e-01;1.25880204e-01;1.43840999e-01;2.12184965e-01;3.75836446e-01;6.57310712e-01;8.96929072e-01;9.79546956e-01;9.97005969e-01;9.99656080e-01;9.99967673e-01;9.99997436e-01;9.99999824e-01;9.99999989e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.61541162e-03;1.30944148e-04;1.36489235e-03;6.41605542e+03;3.42861714e+01;0.00000000e+00;2.18202604e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999998e-01;9.99999969e-01;9.99999551e-01;9.99994335e-01;9.99938141e-01;9.99428127e-01;9.95648737e-01;9.73750665e-01;8.81078762e-01;6.34363152e-01;3.51458218e-01;1.90654760e-01;1.25068373e-01;1.08114973e-01;1.25068373e-01;1.90654760e-01;3.51458218e-01;6.34363152e-01;8.81078762e-01;9.73750665e-01;9.95648737e-01;9.99428127e-01;9.99938141e-01;9.99994335e-01;9.99999551e-01;9.99999969e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.52799668e-03;1.34844559e-04;1.39980489e-03;5.52558100e+03;2.77647447e+01;0.00000000e+00;2.53367022e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999994e-01;9.99999922e-01;9.99999012e-01;9.99989001e-01;9.99893818e-01;9.99129032e-01;9.94083959e-01;9.67803856e-01;8.66176374e-01;6.13425149e-01;3.30309961e-01;1.72679101e-01;1.09670540e-01;9.36150794e-02;1.09670540e-01;1.72679101e-01;3.30309961e-01;6.13425149e-01;8.66176374e-01;9.67803856e-01;9.94083959e-01;9.99129032e-01;9.99893818e-01;9.99989001e-01;9.99999012e-01;9.99999922e-01;9.99999994e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.45762227e-03;1.37863352e-04;1.43025321e-03;4.89838312e+03;2.31915402e+01;0.00000000e+00;2.85808596e-09;2.00000000e-09;6.00000000e-06
11;2048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999986e-01;9.99999828e-01;9.99998060e-01;9.99980653e-01;9.99832233e-01;9.98759087e-01;9.92350607e-01;9.61820908e-01;8.52158029e-01;5.94135743e-01;3.11739138e-01;1.57488044e-01;9.68884600e-02;8.16366895e-02;9.68884600e-02;1.57488044e-01;3.11739138e-01;5.94135743e-01;8.52158029e-01;9.61820908e-01;9.92350607e-01;9.98759087e-01;9.99832233e-01;9.99980653e-01;9.99998060e-01;9.99999828e-01;9.99999986e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.39930019e-03;1.40216160e-04;1.45735747e-03;4.53024298e+03;1.98320264e+01;0.00000000e+00;3.09034196e-09;2.00000000e-09;6.00000000e-06
