A one-dimensional setting of the electrical breakdown problem

adaptation_type = 0
delta = 0.001
dt_max = 6e-6
duration = 2e-3
l = 1.5e-06
m = 12
q = 2e-9
t_grid = 1000000
t_skip = 512
tol_energy = 1.5e-10
tol_phi = 1.4e-5
tol_stability = 1.1e-2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.88952753e-03;4.35396234e-07;9.82332175e-06
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999944e-01;9.99993339e-01;9.99508736e-01;9.83988861e-01;9.50403120e-01;9.12109832e-01;8.82895038e-01;8.72092521e-01;8.82895038e-01;9.12109832e-01;9.50403120e-01;9.83988861e-01;9.99508736e-01;9.99993339e-01;9.99999944e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7.11923014e-04;2.83986779e-06;6.04385649e-05
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999996e-01;9.99999621e-01;9.99975716e-01;9.98989109e-01;9.79084209e-01;9.36971445e-01;8.89697520e-01;8.54162051e-01;8.41139499e-01;8.54162051e-01;8.89697520e-01;9.36971445e-01;9.79084209e-01;9.98989109e-01;9.99975716e-01;9.99999621e-01;9.99999996e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5.11351260e-04;4.36113856e-06;9.08955021e-05
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999980e-01;9.99998804e-01;9.99946702e-01;9.98422835e-01;9.75724490e-01;9.28490570e-01;8.75854921e-01;8.36569811e-01;8.22236831e-01;8.36569811e-01;8.75854921e-01;9.28490570e-01;9.75724490e-01;9.98422835e-01;9.99946702e-01;9.99998804e-01;9.99999980e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4.26185163e-04;5.43454284e-06;1.12010693e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999941e-01;9.99997280e-01;9.99906341e-01;9.97831695e-01;9.73124811e-01;9.22397132e-01;8.66057764e-01;8.24152916e-01;8.08899432e-01;8.24152916e-01;8.66057764e-01;9.22397132e-01;9.73124811e-01;9.97831695e-01;9.99906341e-01;9.99997280e-01;9.99999941e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3.77938218e-04;6.24972399e-06;1.27953174e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999863e-01;9.99994852e-01;9.99855001e-01;9.97228612e-01;9.70992061e-01;9.17736048e-01;8.58649178e-01;8.14756617e-01;7.98796626e-01;8.14756617e-01;8.58649178e-01;9.17736048e-01;9.70992061e-01;9.97228612e-01;9.99855001e-01;9.99994852e-01;9.99999863e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3.46579719e-04;6.89370885e-06;1.40555436e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99999726e-01;9.99991347e-01;9.99793231e-01;9.96621958e-01;9.69181417e-01;9.14036810e-01;8.52824382e-01;8.07345661e-01;7.90813002e-01;8.07345661e-01;8.52824382e-01;9.14036810e-01;9.69181417e-01;9.96621958e-01;9.99793231e-01;9.99991347e-01;9.99999726e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3.24492162e-04;7.41494739e-06;1.50806250e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.99999986e-01;9.99999512e-01;9.99986613e-01;9.99721679e-01;9.96017417e-01;9.67609286e-01;9.11029213e-01;8.48126936e-01;8.01338383e-01;7.84323932e-01;8.01338383e-01;8.48126936e-01;9.11029213e-01;9.67609286e-01;9.96017417e-01;9.99721679e-01;9.99986613e-01;9.99999512e-01;9.99999986e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3.08095163e-04;7.84373804e-06;1.59308637e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999973e-01;9.99999197e-01;9.99980523e-01;9.99641042e-01;9.95418934e-01;9.66222340e-01;9.08542190e-01;8.44271086e-01;7.96373644e-01;7.78942736e-01;7.96373644e-01;8.44271086e-01;9.08542190e-01;9.66222340e-01;9.95418934e-01;9.99641042e-01;9.99980523e-01;9.99999197e-01;9.99999973e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.95465347e-04;8.20052784e-06;1.66461233e-04
9;512;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999954e-01;9.99998757e-01;9.99972971e-01;9.99552034e-01;9.94829277e-01;9.64984096e-01;9.06459879e-01;8.41065228e-01;7.92211089e-01;7.74412730e-01;7.92211089e-01;8.41065228e-01;9.06459879e-01;9.64984096e-01;9.94829277e-01;9.99552034e-01;9.99972971e-01;9.99998757e-01;9.99999954e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.85469265e-04;8.49987205e-06;1.72543007e-04
