iter model_time time_step_prev dphi_dt_abs_max time_step_phi
1 0.000000e+00 1.181474e-04 7.599841e-02 0.000000e+00 
2 1.181474e-04 1.315817e-01 7.599768e-02 1.315817e-01 
3 1.316999e-01 1.315830e-01 1.354969e-01 1.315830e-01 
4 2.632828e-01 7.380244e-02 4.209521e-01 7.380244e-02 
5 3.370852e-01 2.375567e-02 8.870707e-01 2.375567e-02 
6 3.608409e-01 1.127306e-02 1.190289e+00 1.127306e-02 
7 3.721140e-01 8.401322e-03 1.381151e+00 8.401322e-03 
8 3.805153e-01 7.240337e-03 1.546072e+00 7.240337e-03 
9 3.877556e-01 6.468003e-03 1.705874e+00 6.468003e-03 
10 3.942236e-01 5.862098e-03 1.864758e+00 5.862098e-03 
11 4.000857e-01 5.362627e-03 2.024170e+00 5.362627e-03 
12 4.054484e-01 4.940295e-03 2.185069e+00 4.940295e-03 
13 4.103887e-01 4.576515e-03 2.348266e+00 4.576515e-03 
14 4.149652e-01 4.258462e-03 2.514506e+00 4.258462e-03 
15 4.192236e-01 3.976924e-03 2.684499e+00 3.976924e-03 
16 4.232006e-01 3.725089e-03 2.858937e+00 3.725089e-03 
17 4.269257e-01 3.497804e-03 3.038508e+00 3.497804e-03 
18 4.304235e-01 3.291089e-03 3.223912e+00 3.291089e-03 
19 4.337145e-01 3.101822e-03 3.415867e+00 3.101822e-03 
20 4.368164e-01 2.927515e-03 3.615118e+00 2.927515e-03 
21 4.397439e-01 2.766162e-03 3.822445e+00 2.766162e-03 
22 4.425100e-01 2.616127e-03 4.038673e+00 2.616127e-03 
23 4.451262e-01 2.476061e-03 4.264679e+00 2.476061e-03 
24 4.476022e-01 2.344842e-03 4.501399e+00 2.344842e-03 
25 4.499471e-01 2.221531e-03 4.749841e+00 2.221531e-03 
26 4.521686e-01 2.105334e-03 5.011090e+00 2.105334e-03 
27 4.542739e-01 1.995574e-03 5.286324e+00 1.995574e-03 
28 4.562695e-01 1.891674e-03 5.576825e+00 1.891674e-03 
29 4.581612e-01 1.793135e-03 5.883990e+00 1.793135e-03 
30 4.599543e-01 1.699527e-03 6.209349e+00 1.699527e-03 
31 4.616538e-01 1.610475e-03 6.554584e+00 1.610475e-03 
32 4.632643e-01 1.525650e-03 6.921545e+00 1.525650e-03 
33 4.647900e-01 1.444764e-03 7.312277e+00 1.444764e-03 
34 4.662347e-01 1.367563e-03 7.729045e+00 1.367563e-03 
35 4.676023e-01 1.293821e-03 8.174364e+00 1.293821e-03 
36 4.688961e-01 1.223337e-03 8.651038e+00 1.223337e-03 
37 4.701195e-01 1.155931e-03 9.162196e+00 1.155931e-03 
38 4.712754e-01 1.091441e-03 9.711346e+00 1.091441e-03 
39 4.723668e-01 1.029723e-03 1.030243e+01 1.029723e-03 
40 4.733966e-01 9.706450e-04 1.093988e+01 9.706450e-04 
41 4.743672e-01 9.140867e-04 1.162873e+01 9.140867e-04 
42 4.752813e-01 8.599391e-04 1.237467e+01 8.599391e-04 
43 4.761412e-01 8.081025e-04 1.318418e+01 8.081025e-04 
44 4.769493e-01 7.584848e-04 1.406466e+01 7.584848e-04 
45 4.777078e-01 7.110019e-04 1.502458e+01 7.110019e-04 
46 4.784188e-01 6.655758e-04 1.607373e+01 6.655758e-04 
47 4.790844e-01 6.221333e-04 1.722332e+01 6.221333e-04 
48 4.797065e-01 5.806083e-04 1.848650e+01 5.806083e-04 
49 4.802871e-01 5.409353e-04 1.987844e+01 5.409353e-04 
50 4.808281e-01 5.030576e-04 2.141690e+01 5.030576e-04 
51 4.813311e-01 4.669209e-04 2.312292e+01 4.669209e-04 
52 4.817980e-01 4.324713e-04 2.502113e+01 4.324713e-04 
53 4.822305e-01 3.996622e-04 2.714083e+01 3.996622e-04 
54 4.826302e-01 3.684486e-04 2.951712e+01 3.684486e-04 
55 4.829986e-01 3.387864e-04 3.219200e+01 3.387864e-04 
56 4.833374e-01 3.106362e-04 3.521621e+01 3.106362e-04 
57 4.836480e-01 2.839601e-04 3.865143e+01 2.839601e-04 
58 4.839320e-01 2.587226e-04 4.257311e+01 2.587226e-04 
59 4.841907e-01 2.348901e-04 4.707421e+01 2.348901e-04 
60 4.844256e-01 2.124305e-04 5.227016e+01 2.124305e-04 
61 4.846380e-01 1.913137e-04 5.830541e+01 1.913137e-04 
62 4.848294e-01 1.715107e-04 6.536233e+01 1.715107e-04 
63 4.850009e-01 1.529933e-04 7.367330e+01 1.529933e-04 
64 4.851539e-01 1.357344e-04 8.353772e+01 1.357344e-04 
65 4.852896e-01 1.197064e-04 9.534396e+01 1.197064e-04 
66 4.854093e-01 1.181474e-04 1.096050e+02 1.181474e-04 
67 4.855275e-01 1.181474e-04 1.294605e+02 1.181474e-04 
68 4.856456e-01 1.181474e-04 1.595745e+02 1.181474e-04 
69 4.857638e-01 1.181474e-04 2.108226e+02 1.181474e-04 
70 4.858819e-01 1.181474e-04 3.170675e+02 1.181474e-04 
71 4.860000e-01 1.181474e-04 6.493128e+02 1.181474e-04 
72 4.861182e-01 1.181474e-04 4.321085e+03 1.181474e-04 
73 4.862363e-01 1.181474e-04 1.837823e+00 1.181474e-04 
74 4.863545e-01 5.441221e-03 1.840122e+00 5.441221e-03 
75 4.917957e-01 5.434422e-03 1.932698e+00 5.434422e-03 
76 4.972301e-01 5.174114e-03 2.034103e+00 5.174114e-03 
77 5.024042e-01 4.916171e-03 2.140113e+00 4.916171e-03 
78 5.073204e-01 4.672651e-03 2.250858e+00 4.672651e-03 
79 5.119931e-01 4.442751e-03 2.366744e+00 4.442751e-03 
80 5.164358e-01 4.225214e-03 2.488227e+00 4.225214e-03 
81 5.206610e-01 4.018926e-03 2.615808e+00 4.018926e-03 
82 5.246800e-01 3.822910e-03 2.750044e+00 3.822910e-03 
83 5.285029e-01 3.636305e-03 2.891551e+00 3.636305e-03 
84 5.321392e-01 3.458351e-03 3.041016e+00 3.458351e-03 
85 5.355975e-01 3.288374e-03 3.199205e+00 3.288374e-03 
86 5.388859e-01 3.125777e-03 3.366973e+00 3.125777e-03 
87 5.420117e-01 2.970027e-03 3.545281e+00 2.970027e-03 
88 5.449817e-01 2.820651e-03 3.735211e+00 2.820651e-03 
89 5.478024e-01 2.677225e-03 3.937981e+00 2.677225e-03 
90 5.504796e-01 2.539372e-03 4.154972e+00 2.539372e-03 
91 5.530189e-01 2.406755e-03 4.387734e+00 2.406755e-03 
92 5.554257e-01 2.279081e-03 4.638056e+00 2.279081e-03 
93 5.577048e-01 2.156076e-03 4.907944e+00 2.156076e-03 
94 5.598609e-01 2.037513e-03 5.199726e+00 2.037513e-03 
95 5.618984e-01 1.923178e-03 5.516032e+00 1.923178e-03 
96 5.638216e-01 1.812897e-03 5.859924e+00 1.812897e-03 
97 5.656344e-01 1.706507e-03 6.234894e+00 1.706507e-03 
98 5.673410e-01 1.603876e-03 6.645024e+00 1.603876e-03 
99 5.689448e-01 1.504886e-03 7.095006e+00 1.504886e-03 
100 5.704497e-01 1.409442e-03 7.590357e+00 1.409442e-03 
101 5.718592e-01 1.317461e-03 8.137486e+00 1.317461e-03 
102 5.731766e-01 1.228881e-03 8.743933e+00 1.228881e-03 
103 5.744055e-01 1.143650e-03 9.418597e+00 1.143650e-03 
104 5.755492e-01 1.061729e-03 1.017200e+01 1.061729e-03 
105 5.766109e-01 9.830910e-04 1.101667e+01 9.830910e-04 
106 5.775940e-01 9.077155e-04 1.196757e+01 9.077155e-04 
107 5.785017e-01 8.355915e-04 1.304271e+01 8.355915e-04 
108 5.793373e-01 7.667120e-04 1.426381e+01 7.667120e-04 
109 5.801040e-01 7.010748e-04 1.565733e+01 7.010748e-04 
110 5.808051e-01 6.386783e-04 1.725560e+01 6.386783e-04 
111 5.814437e-01 5.795220e-04 1.909846e+01 5.795220e-04 
112 5.820233e-01 5.236023e-04 2.123531e+01 5.236023e-04 
113 5.825469e-01 4.709137e-04 2.372800e+01 4.709137e-04 
114 5.830178e-01 4.214431e-04 2.665443e+01 4.214431e-04 
115 5.834392e-01 3.751721e-04 3.011378e+01 3.751721e-04 
116 5.838144e-01 3.320739e-04 3.423346e+01 3.320739e-04 
117 5.841465e-01 2.921118e-04 3.917884e+01 2.921118e-04 
118 5.844386e-01 2.552398e-04 4.516715e+01 2.552398e-04 
119 5.846938e-01 2.213998e-04 5.248723e+01 2.213998e-04 
120 5.849152e-01 1.905225e-04 6.152835e+01 1.905225e-04 
121 5.851057e-01 1.625267e-04 7.282291e+01 1.625267e-04 
122 5.852683e-01 1.373194e-04 8.711078e+01 1.373194e-04 
123 5.854056e-01 1.181474e-04 1.054388e+02 1.181474e-04 
124 5.855237e-01 1.181474e-04 1.301120e+02 1.181474e-04 
125 5.856419e-01 1.181474e-04 1.716236e+02 1.181474e-04 
126 5.857600e-01 1.181474e-04 2.554760e+02 1.181474e-04 
127 5.858782e-01 1.181474e-04 4.988865e+02 1.181474e-04 
128 5.859963e-01 1.181474e-04 2.294054e+03 1.181474e-04 
129 5.861145e-01 1.181474e-04 5.597920e+00 1.181474e-04 
130 5.862326e-01 1.786378e-03 5.616283e+00 1.786378e-03 
131 5.880190e-01 1.780537e-03 5.902296e+00 1.780537e-03 
132 5.897995e-01 1.694256e-03 6.218157e+00 1.694256e-03 
133 5.914938e-01 1.608194e-03 6.553029e+00 1.608194e-03 
134 5.931020e-01 1.526012e-03 6.907946e+00 1.526012e-03 
135 5.946280e-01 1.447608e-03 7.284760e+00 1.447608e-03 
136 5.960756e-01 1.372729e-03 7.685550e+00 1.372729e-03 
137 5.974483e-01 1.301143e-03 8.112624e+00 1.301143e-03 
138 5.987495e-01 1.232647e-03 8.568539e+00 1.232647e-03 
139 5.999821e-01 1.167060e-03 9.056139e+00 1.167060e-03 
140 6.011492e-01 1.104223e-03 9.578600e+00 1.104223e-03 
141 6.022534e-01 1.043994e-03 1.013947e+01 1.043994e-03 
142 6.032974e-01 9.862445e-04 1.074275e+01 9.862445e-04 
143 6.042836e-01 9.308608e-04 1.139290e+01 9.308608e-04 
144 6.052145e-01 8.777396e-04 1.209500e+01 8.777396e-04 
145 6.060922e-01 8.267879e-04 1.285478e+01 8.267879e-04 
146 6.069190e-01 7.779206e-04 1.367876e+01 7.779206e-04 
147 6.076970e-01 7.310604e-04 1.457436e+01 7.310604e-04 
148 6.084280e-01 6.861366e-04 1.555007e+01 6.861366e-04 
149 6.091142e-01 6.430838e-04 1.661566e+01 6.430838e-04 
150 6.097572e-01 6.018419e-04 1.778238e+01 6.018419e-04 
151 6.103591e-01 5.623544e-04 1.906319e+01 5.623544e-04 
152 6.109214e-01 5.245711e-04 2.047329e+01 5.245711e-04 
153 6.114460e-01 4.884413e-04 2.203023e+01 4.884413e-04 
154 6.119344e-01 4.539216e-04 2.375478e+01 4.539216e-04 
155 6.123884e-01 4.209679e-04 2.567128e+01 4.209679e-04 
156 6.128093e-01 3.895403e-04 2.780860e+01 3.895403e-04 
157 6.131989e-01 3.596010e-04 3.020107e+01 3.596010e-04 
158 6.135585e-01 3.311141e-04 3.288981e+01 3.311141e-04 
159 6.138896e-01 3.040455e-04 3.592432e+01 3.040455e-04 
160 6.141936e-01 2.783629e-04 3.936455e+01 2.783629e-04 
161 6.144720e-01 2.540357e-04 4.328358e+01 2.540357e-04 
162 6.147260e-01 2.310345e-04 4.777118e+01 2.310345e-04 
163 6.149571e-01 2.093312e-04 5.293842e+01 2.093312e-04 
164 6.151664e-01 1.888987e-04 5.892350e+01 1.888987e-04 
165 6.153553e-01 1.697116e-04 6.590043e+01 1.697116e-04 
166 6.155250e-01 1.517441e-04 7.408977e+01 1.517441e-04 
167 6.156768e-01 1.349714e-04 8.377408e+01 1.349714e-04 
168 6.158117e-01 1.193687e-04 9.531884e+01 1.193687e-04 
169 6.159311e-01 1.181474e-04 1.092027e+02 1.181474e-04 
170 6.160492e-01 1.181474e-04 1.284270e+02 1.181474e-04 
171 6.161674e-01 1.181474e-04 1.572600e+02 1.181474e-04 
172 6.162855e-01 1.181474e-04 2.054671e+02 1.181474e-04 
173 6.164037e-01 1.181474e-04 3.022693e+02 1.181474e-04 
174 6.165218e-01 1.181474e-04 5.836794e+02 1.181474e-04 
175 6.166400e-01 1.181474e-04 3.004159e+03 1.181474e-04 
176 6.167581e-01 1.181474e-04 2.592667e+00 1.181474e-04 
177 6.168763e-01 3.857033e-03 2.597286e+00 3.857033e-03 
178 6.207333e-01 3.850172e-03 2.723540e+00 3.850172e-03 
179 6.245835e-01 3.671692e-03 2.863556e+00 3.671692e-03 
180 6.282552e-01 3.492161e-03 3.011682e+00 3.492161e-03 
181 6.317473e-01 3.320403e-03 3.168332e+00 3.320403e-03 
182 6.350677e-01 3.156235e-03 3.334322e+00 3.156235e-03 
183 6.382240e-01 2.999111e-03 3.510576e+00 2.999111e-03 
184 6.412231e-01 2.848535e-03 3.698138e+00 2.848535e-03 
185 6.440716e-01 2.704063e-03 3.898169e+00 2.704063e-03 
186 6.467757e-01 2.565307e-03 4.111979e+00 2.565307e-03 
187 6.493410e-01 2.431919e-03 4.341050e+00 2.431919e-03 
188 6.517729e-01 2.303590e-03 4.587047e+00 2.303590e-03 
189 6.540765e-01 2.180052e-03 4.851865e+00 2.180052e-03 
190 6.562566e-01 2.061063e-03 5.137653e+00 2.061063e-03 
191 6.583176e-01 1.946414e-03 5.446860e+00 1.946414e-03 
192 6.602640e-01 1.835920e-03 5.782279e+00 1.835920e-03 
193 6.620999e-01 1.729422e-03 6.147130e+00 1.729422e-03 
194 6.638294e-01 1.626776e-03 6.545087e+00 1.626776e-03 
195 6.654561e-01 1.527864e-03 6.980414e+00 1.527864e-03 
196 6.669840e-01 1.432580e-03 7.458022e+00 1.432580e-03 
197 6.684166e-01 1.340838e-03 7.983636e+00 1.340838e-03 
198 6.697574e-01 1.252562e-03 8.563910e+00 1.252562e-03 
199 6.710100e-01 1.167691e-03 9.206656e+00 1.167691e-03 
200 6.721777e-01 1.086171e-03 9.921029e+00 1.086171e-03 
201 6.732639e-01 1.007960e-03 1.071787e+01 1.007960e-03 
202 6.742718e-01 9.330215e-04 1.161000e+01 9.330215e-04 
203 6.752048e-01 8.613267e-04 1.261274e+01 8.613267e-04 
204 6.760662e-01 7.928492e-04 1.374439e+01 7.928492e-04 
205 6.768590e-01 7.275695e-04 1.502709e+01 7.275695e-04 
206 6.775866e-01 6.654646e-04 1.648763e+01 6.654646e-04 
207 6.782520e-01 6.065155e-04 1.815860e+01 6.065155e-04 
208 6.788586e-01 5.507032e-04 2.008012e+01 5.507032e-04 
209 6.794093e-01 4.980050e-04 2.230169e+01 4.980050e-04 
