iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
1 1.000000e-10 1.000000e-10 3.518600e+04 0.000000e+00 4.487626e-15
2 2.000000e-10 1.000000e-10 3.519836e+04 2.842040e-08 4.487624e-15
3 3.000000e-10 1.000000e-10 3.521183e+04 2.841041e-08 4.487622e-15
4 4.000000e-10 1.000000e-10 3.522530e+04 2.839955e-08 4.487620e-15
5 5.000000e-10 1.000000e-10 3.523877e+04 2.838869e-08 4.487619e-15
6 6.000000e-10 1.000000e-10 3.525225e+04 2.837783e-08 4.487617e-15
7 7.000000e-10 1.000000e-10 3.526574e+04 2.836698e-08 4.487615e-15
8 8.000000e-10 1.000000e-10 3.527923e+04 2.835613e-08 4.487613e-15
9 9.000000e-10 1.000000e-10 3.529273e+04 2.834529e-08 4.487611e-15
10 1.000000e-09 1.000000e-10 3.530623e+04 2.833445e-08 4.487609e-15
11 1.100000e-09 1.000000e-10 3.531973e+04 2.832362e-08 4.487608e-15
12 1.200000e-09 1.000000e-10 3.533324e+04 2.831279e-08 4.487606e-15
13 1.300000e-09 1.000000e-10 3.534676e+04 2.830196e-08 4.487604e-15
14 1.400000e-09 1.000000e-10 3.536028e+04 2.829114e-08 4.487602e-15
15 1.500000e-09 1.000000e-10 3.537380e+04 2.828032e-08 4.487600e-15
16 1.600000e-09 1.000000e-10 3.538733e+04 2.826951e-08 4.487598e-15
17 1.700000e-09 1.000000e-10 3.540087e+04 2.825870e-08 4.487596e-15
18 1.800000e-09 1.000000e-10 3.541441e+04 2.824789e-08 4.487595e-15
19 1.900000e-09 1.000000e-10 3.542795e+04 2.823709e-08 4.487593e-15
20 2.000000e-09 1.000000e-10 3.544150e+04 2.822630e-08 4.487591e-15
21 2.100000e-09 1.000000e-10 3.545506e+04 2.821551e-08 4.487589e-15
22 2.200000e-09 1.000000e-10 3.546862e+04 2.820472e-08 4.487587e-15
23 2.300000e-09 1.000000e-10 3.548219e+04 2.819394e-08 4.487585e-15
24 2.400000e-09 1.000000e-10 3.549576e+04 2.818316e-08 4.487583e-15
25 2.500000e-09 1.000000e-10 3.550933e+04 2.817238e-08 4.487582e-15
26 2.600000e-09 1.000000e-10 3.552291e+04 2.816161e-08 4.487580e-15
27 2.700000e-09 1.000000e-10 3.553650e+04 2.815085e-08 4.487578e-15
28 2.800000e-09 1.000000e-10 3.555009e+04 2.814008e-08 4.487576e-15
29 2.900000e-09 1.000000e-10 3.556368e+04 2.812933e-08 4.487574e-15
30 3.000000e-09 1.000000e-10 3.557728e+04 2.811857e-08 4.487572e-15
31 3.100000e-09 1.000000e-10 3.559089e+04 2.810782e-08 4.487570e-15
32 3.200000e-09 1.000000e-10 3.560450e+04 2.809708e-08 4.487569e-15
33 3.300000e-09 1.000000e-10 3.561812e+04 2.808634e-08 4.487567e-15
34 3.400000e-09 1.000000e-10 3.563174e+04 2.807560e-08 4.487565e-15
35 3.500000e-09 1.000000e-10 3.564536e+04 2.806487e-08 4.487563e-15
36 3.600000e-09 1.000000e-10 3.565899e+04 2.805414e-08 4.487561e-15
37 3.700000e-09 1.000000e-10 3.567263e+04 2.804342e-08 4.487559e-15
38 3.800000e-09 1.000000e-10 3.568627e+04 2.803270e-08 4.487557e-15
39 3.900000e-09 1.000000e-10 3.569991e+04 2.802198e-08 4.487555e-15
40 4.000000e-09 1.000000e-10 3.571357e+04 2.801127e-08 4.487554e-15
41 4.100000e-09 1.000000e-10 3.572722e+04 2.800056e-08 4.487552e-15
42 4.200000e-09 1.000000e-10 3.574088e+04 2.798986e-08 4.487550e-15
43 4.300000e-09 1.000000e-10 3.575455e+04 2.797916e-08 4.487548e-15
44 4.400000e-09 1.000000e-10 3.576822e+04 2.796847e-08 4.487546e-15
45 4.500000e-09 1.000000e-10 3.578189e+04 2.795778e-08 4.487544e-15
46 4.600000e-09 1.000000e-10 3.579558e+04 2.794709e-08 4.487542e-15
47 4.700000e-09 1.000000e-10 3.580926e+04 2.793641e-08 4.487540e-15
48 4.800000e-09 1.000000e-10 3.582295e+04 2.792574e-08 4.487539e-15
49 4.900000e-09 1.000000e-10 3.583665e+04 2.791506e-08 4.487537e-15
50 5.000000e-09 1.000000e-10 3.585035e+04 2.790439e-08 4.487535e-15
51 5.100000e-09 1.000000e-10 3.586406e+04 2.789373e-08 4.487533e-15
52 5.200000e-09 1.000000e-10 3.587777e+04 2.788307e-08 4.487531e-15
53 5.300000e-09 1.000000e-10 3.589149e+04 2.787241e-08 4.487529e-15
54 5.400000e-09 1.000000e-10 3.590521e+04 2.786176e-08 4.487527e-15
55 5.500000e-09 1.000000e-10 3.591893e+04 2.785111e-08 4.487525e-15
56 5.600000e-09 1.000000e-10 3.593267e+04 2.784047e-08 4.487523e-15
57 5.700000e-09 1.000000e-10 3.594640e+04 2.782983e-08 4.487522e-15
58 5.800000e-09 1.000000e-10 3.596014e+04 2.781920e-08 4.487520e-15
59 5.900000e-09 1.000000e-10 3.597389e+04 2.780857e-08 4.487518e-15
60 6.000000e-09 1.000000e-10 3.598764e+04 2.779794e-08 4.487516e-15
61 6.100000e-09 1.000000e-10 3.600140e+04 2.778732e-08 4.487514e-15
62 6.200000e-09 1.000000e-10 3.601516e+04 2.777670e-08 4.487512e-15
63 6.300000e-09 1.000000e-10 3.602893e+04 2.776608e-08 4.487510e-15
64 6.400000e-09 1.000000e-10 3.604270e+04 2.775547e-08 4.487508e-15
65 6.500000e-09 1.000000e-10 3.605648e+04 2.774487e-08 4.487506e-15
66 6.600000e-09 1.000000e-10 3.607026e+04 2.773427e-08 4.487505e-15
