iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
1 1.000000e-10 1.000000e-10 3.518600e+04 0.000000e+00 4.487626e-15
2 2.852040e-08 2.842040e-08 3.519836e+04 2.842040e-08 4.487624e-15
3 5.693081e-08 2.841041e-08 3.901810e+04 2.841041e-08 4.487100e-15
4 8.255994e-08 2.562913e-08 4.323367e+04 2.562913e-08 4.486514e-15
5 1.000000e-07 1.744006e-08 4.744541e+04 2.313012e-08 4.485921e-15
6 1.210769e-07 2.107685e-08 5.058866e+04 2.107685e-08 4.485474e-15
7 1.408441e-07 1.976728e-08 5.462816e+04 1.976728e-08 4.484894e-15
8 1.591497e-07 1.830558e-08 5.870465e+04 1.830558e-08 4.484301e-15
9 1.761841e-07 1.703443e-08 6.274716e+04 1.703443e-08 4.483706e-15
10 1.921211e-07 1.593698e-08 6.675418e+04 1.593698e-08 4.483110e-15
11 2.000000e-07 7.878890e-09 7.072903e+04 1.498034e-08 4.482511e-15
12 2.141385e-07 1.413847e-08 7.280796e+04 1.413847e-08 4.482196e-15
13 2.278732e-07 1.373476e-08 7.663302e+04 1.373476e-08 4.481610e-15
14 2.409224e-07 1.304920e-08 8.053380e+04 1.304920e-08 4.481007e-15
15 2.533396e-07 1.241715e-08 8.441636e+04 1.241715e-08 4.480401e-15
16 2.651856e-07 1.184604e-08 8.827714e+04 1.184604e-08 4.479793e-15
17 2.765136e-07 1.132796e-08 9.211726e+04 1.132796e-08 4.479182e-15
18 2.873693e-07 1.085573e-08 9.593795e+04 1.085573e-08 4.478569e-15
19 2.977927e-07 1.042340e-08 9.974028e+04 1.042340e-08 4.477953e-15
20 3.000000e-07 2.207282e-09 1.035252e+05 1.002604e-08 4.477335e-15
21 3.096595e-07 9.659480e-09 1.043575e+05 9.659480e-09 4.477198e-15
22 3.192419e-07 9.582445e-09 1.080136e+05 9.582445e-09 4.476594e-15
23 3.285000e-07 9.258090e-09 1.117595e+05 9.258090e-09 4.475971e-15
24 3.374478e-07 8.947784e-09 1.154943e+05 8.947784e-09 4.475344e-15
25 3.461062e-07 8.658434e-09 1.192151e+05 8.658434e-09 4.474715e-15
26 3.544944e-07 8.388202e-09 1.229222e+05 8.388202e-09 4.474083e-15
27 3.626297e-07 8.135228e-09 1.266163e+05 8.135228e-09 4.473449e-15
28 3.705275e-07 7.897879e-09 1.302978e+05 7.897879e-09 4.472812e-15
29 3.782023e-07 7.674725e-09 1.339674e+05 7.674725e-09 4.472173e-15
30 3.856668e-07 7.464504e-09 1.376253e+05 7.464504e-09 4.471531e-15
