A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 0.00000000e+00
r_power = 0
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

2.50000000e-02;7.50000000e-02;1.25000000e-01;1.75000000e-01;2.25000000e-01;2.75000000e-01;3.25000000e-01;3.75000000e-01;4.25000000e-01;4.75000000e-01;5.25000000e-01;5.75000000e-01;6.25000000e-01;6.75000000e-01;7.25000000e-01;7.75000000e-01;8.25000000e-01;8.75000000e-01;9.25000000e-01;9.75000000e-01;1.02500000e+00;1.07500000e+00;1.12500000e+00;1.17500000e+00;1.22500000e+00;1.27500000e+00;1.32500000e+00;1.37500000e+00;1.42500000e+00;1.47500000e+00;1.52500000e+00;1.57500000e+00;1.62500000e+00;1.67500000e+00;1.72500000e+00;1.77500000e+00;1.82500000e+00;1.87500000e+00;1.92500000e+00;1.97500000e+00;2.02500000e+00;2.07500000e+00;2.12500000e+00;2.17500000e+00;2.22500000e+00;2.27500000e+00;2.32500000e+00;2.37500000e+00;2.42500000e+00;2.47500000e+00;2.52500000e+00;2.57500000e+00;2.62500000e+00;2.67500000e+00;2.72500000e+00;2.77500000e+00;2.82500000e+00;2.87500000e+00;2.92500000e+00;2.97500000e+00;3.02500000e+00;3.07500000e+00;3.12500000e+00;3.17500000e+00;3.22500000e+00;3.27500000e+00;3.32500000e+00;3.37500000e+00;3.42500000e+00;3.47500000e+00;3.52500000e+00;3.57500000e+00;3.62500000e+00;3.67500000e+00;3.72500000e+00;3.77500000e+00;3.82500000e+00;3.87500000e+00;3.92500000e+00;3.97500000e+00;4.02500000e+00;4.07500000e+00;4.12500000e+00;4.17500000e+00;4.22500000e+00;4.27500000e+00;4.32500000e+00;4.37500000e+00;4.42500000e+00;4.47500000e+00;4.52500000e+00;4.57500000e+00;4.62500000e+00;4.67500000e+00;4.72500000e+00;4.77500000e+00;4.82500000e+00;4.87500000e+00;4.92500000e+00;4.97500000e+00;5.00000000e+00;1.23003955e+00;-1.35920134e-02;1.52080888e+00
6.85232623e-04;6.15582970e-03;1.70370869e-02;3.32097868e-02;5.44967379e-02;8.06647160e-02;1.11427019e-01;1.46446609e-01;1.85339804e-01;2.27680482e-01;2.73004750e-01;3.20816025e-01;3.70590477e-01;4.21782767e-01;4.73832022e-01;5.26167978e-01;5.78217233e-01;6.29409523e-01;6.79183975e-01;7.26995250e-01;7.72319518e-01;8.14660196e-01;8.53553391e-01;8.88572981e-01;9.19335284e-01;9.45503262e-01;9.66790213e-01;9.82962913e-01;9.93844170e-01;9.99314767e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.23003955e+00;-1.35920134e-02;1.52080888e+00
7.50946107e-03;2.29304163e-02;4.01102792e-02;6.00434719e-02;8.34976873e-02;1.10983672e-01;1.42756616e-01;1.78837473e-01;2.19041834e-01;2.63008436e-01;3.10225057e-01;3.60053577e-01;4.11757295e-01;4.64532655e-01;5.17545425e-01;5.69969197e-01;6.21022663e-01;6.70001746e-01;7.16303427e-01;7.59439633e-01;7.99041289e-01;8.34854376e-01;8.66730942e-01;8.94618576e-01;9.18551512e-01;9.38645330e-01;9.55095185e-01;9.68175040e-01;9.78233442e-01;9.85681179e-01;9.90968402e-01;9.94552986e-01;9.96866127e-01;9.98283094e-01;9.99105471e-01;9.99557122e-01;9.99791707e-01;9.99906933e-01;9.99960480e-01;9.99984040e-01;9.99993865e-01;9.99997753e-01;9.99999215e-01;9.99999738e-01;9.99999916e-01;9.99999975e-01;9.99999993e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.20609934e-01;2.96358112e-01;1.43406752e+00
1.06607324e-02;3.22950069e-02;5.52898593e-02;8.04454250e-02;1.08438222e-01;1.39788559e-01;1.74831425e-01;2.13693839e-01;2.56281404e-01;3.02276839e-01;3.51153008e-01;4.02201951e-01;4.54579466e-01;5.07362067e-01;5.59610465e-01;6.10431972e-01;6.59034215e-01;7.04764207e-01;7.47129856e-01;7.85804246e-01;8.20615718e-01;8.51528285e-01;8.78617181e-01;9.02043641e-01;9.22031729e-01;9.38848705e-01;9.52789232e-01;9.64162956e-01;9.73284573e-01;9.80465510e-01;9.86006561e-01;9.90191215e-01;9.93279758e-01;9.95504498e-01;9.97066536e-01;9.98134374e-01;9.98844444e-01;9.99303354e-01;9.99591428e-01;9.99766981e-01;9.99870802e-01;9.99930373e-01;9.99963532e-01;9.99981437e-01;9.99990816e-01;9.99995584e-01;9.99997935e-01;9.99999062e-01;9.99999585e-01;9.99999822e-01;9.99999925e-01;9.99999970e-01;9.99999988e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.38428925e-02;4.23301201e-01;1.43350207e+00
1.34047858e-02;4.05045996e-02;6.88461416e-02;9.91374379e-02;1.31966288e-01;1.67772364e-01;2.06817676e-01;2.49160398e-01;2.94637618e-01;3.42862534e-01;3.93240463e-01;4.45005429e-01;4.97275356e-01;5.49119896e-01;5.99631864e-01;6.47992325e-01;6.93520824e-01;7.35705694e-01;7.74213550e-01;8.08880740e-01;8.39691838e-01;8.66750952e-01;8.90251042e-01;9.10445086e-01;9.27621405e-01;9.42084083e-01;9.54138437e-01;9.64080897e-01;9.72192391e-01;9.78734304e-01;9.83946222e-01;9.88044852e-01;9.91223688e-01;9.93653209e-01;9.95481458e-01;9.96834980e-01;9.97820089e-01;9.98524444e-01;9.99018888e-01;9.99359466e-01;9.99589548e-01;9.99741930e-01;9.99840834e-01;9.99903729e-01;9.99942905e-01;9.99966804e-01;9.99981080e-01;9.99989430e-01;9.99994212e-01;9.99996893e-01;9.99998366e-01;9.99999157e-01;9.99999574e-01;9.99999789e-01;9.99999897e-01;9.99999951e-01;9.99999977e-01;9.99999990e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.70726964e-02;5.33289007e-01;1.41985814e+00
1.60607224e-02;4.84662043e-02;8.20608698e-02;1.17482862e-01;1.55228471e-01;1.95628618e-01;2.38824269e-01;2.84746957e-01;3.33110768e-01;3.83421231e-01;4.35004298e-01;4.87054897e-01;5.38700393e-01;5.89070707e-01;6.37365131e-01;6.82906658e-01;7.25177582e-01;7.63834245e-01;7.98702725e-01;8.29760021e-01;8.57106446e-01;8.80934681e-01;9.01499774e-01;9.19092859e-01;9.34019945e-01;9.46586033e-01;9.57084104e-01;9.65788166e-01;9.72949419e-01;9.78794679e-01;9.83526308e-01;9.87323086e-01;9.90341606e-01;9.92717928e-01;9.94569308e-01;9.95995932e-01;9.97082593e-01;9.97900313e-01;9.98507903e-01;9.98953451e-01;9.99275747e-01;9.99505632e-01;9.99667254e-01;9.99779217e-01;9.99855620e-01;9.99906964e-01;9.99940936e-01;9.99963064e-01;9.99977250e-01;9.99986200e-01;9.99991757e-01;9.99995152e-01;9.99997192e-01;9.99998399e-01;9.99999101e-01;9.99999503e-01;9.99999730e-01;9.99999855e-01;9.99999924e-01;9.99999960e-01;9.99999980e-01;9.99999990e-01;9.99999995e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.52111001e-02;6.39588527e-01;1.37916480e+00
1.87111643e-02;5.64146792e-02;9.52646787e-02;1.35825316e-01;1.78488308e-01;2.23455785e-01;2.70724758e-01;3.20080023e-01;3.71101433e-01;4.23189332e-01;4.75608576e-01;5.27547486e-01;5.78184506e-01;6.26753327e-01;6.72597491e-01;7.15207990e-01;7.54241076e-01;7.89517329e-01;8.21005894e-01;8.48799183e-01;8.73083331e-01;8.94108783e-01;9.12163940e-01;9.27553495e-01;9.40581896e-01;9.51541690e-01;9.60706030e-01;9.68324488e-01;9.74621330e-01;9.79795492e-01;9.84021650e-01;9.87451929e-01;9.90217918e-01;9.92432771e-01;9.94193254e-01;9.95581671e-01;9.96667629e-01;9.97509632e-01;9.98156518e-01;9.98648748e-01;9.99019561e-01;9.99296015e-01;9.99499911e-01;9.99648633e-01;9.99755880e-01;9.99832319e-01;9.99886154e-01;9.99923612e-01;9.99949354e-01;9.99966825e-01;9.99978533e-01;9.99986279e-01;9.99991338e-01;9.99994600e-01;9.99996675e-01;9.99997979e-01;9.99998787e-01;9.99999281e-01;9.99999579e-01;9.99999757e-01;9.99999861e-01;9.99999922e-01;9.99999957e-01;9.99999976e-01;9.99999987e-01;9.99999993e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.43558602e-02;7.45634711e-01;1.32736327e+00
2.13667677e-02;6.43772895e-02;1.08481073e-01;1.54154628e-01;2.01668512e-01;2.51079885e-01;3.02230175e-01;3.54754471e-01;4.08107033e-01;4.61603943e-01;5.14479985e-01;5.65953226e-01;6.15288673e-01;6.61852410e-01;7.05149767e-01;7.44844522e-01;7.80759834e-01;8.12864398e-01;8.41248804e-01;8.66097236e-01;8.87658809e-01;9.06221556e-01;9.22090760e-01;9.35572218e-01;9.46960283e-01;9.56530049e-01;9.64532885e-01;9.71194499e-01;9.76714795e-01;9.81268906e-01;9.85008945e-01;9.88066111e-01;9.90552928e-01;9.92565440e-01;9.94185283e-01;9.95481576e-01;9.96512618e-01;9.97327388e-01;9.97966854e-01;9.98465125e-01;9.98850445e-01;9.99146068e-01;9.99371008e-01;9.99540704e-01;9.99667594e-01;9.99761613e-01;9.99830624e-01;9.99880794e-01;9.99916910e-01;9.99942649e-01;9.99960806e-01;9.99973483e-01;9.99982242e-01;9.99988229e-01;9.99992278e-01;9.99994987e-01;9.99996780e-01;9.99997953e-01;9.99998713e-01;9.99999199e-01;9.99999507e-01;9.99999700e-01;9.99999819e-01;9.99999892e-01;9.99999936e-01;9.99999963e-01;9.99999979e-01;9.99999988e-01;9.99999993e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.30959557e-02;8.51900841e-01;1.26158517e+00
2.40101437e-02;7.22999259e-02;1.21611174e-01;1.72316120e-01;2.24547852e-01;2.78206543e-01;3.32974232e-01;3.88343584e-01;4.43662406e-01;4.98191579e-01;5.51170314e-01;6.01880413e-01;6.49701067e-01;6.94147793e-01;7.34892453e-01;7.71764949e-01;8.04740018e-01;8.33914055e-01;8.59477087e-01;8.81684217e-01;9.00829594e-01;9.17224642e-01;9.31181191e-01;9.42999357e-01;9.52959592e-01;9.61318111e-01;9.68304876e-01;9.74123420e-01;9.78951875e-01;9.82944758e-01;9.86235137e-01;9.88936944e-01;9.91147261e-01;9.92948494e-01;9.94410350e-01;9.95591622e-01;9.96541759e-01;9.97302239e-01;9.97907748e-01;9.98387208e-01;9.98764647e-01;9.99059955e-01;9.99289519e-01;9.99466779e-01;9.99602696e-01;9.99706158e-01;9.99784326e-01;9.99842927e-01;9.99886512e-01;9.99918664e-01;9.99942186e-01;9.99959248e-01;9.99971518e-01;9.99980264e-01;9.99986443e-01;9.99990769e-01;9.99993770e-01;9.99995833e-01;9.99997238e-01;9.99998186e-01;9.99998819e-01;9.99999238e-01;9.99999513e-01;9.99999692e-01;9.99999807e-01;9.99999880e-01;9.99999926e-01;9.99999955e-01;9.99999973e-01;9.99999984e-01;9.99999990e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.08484705e-02;9.57710797e-01;1.18446769e+00
2.66118307e-02;8.00934316e-02;1.34503494e-01;1.90093601e-01;2.46845580e-01;3.04495454e-01;3.62568681e-01;4.20429814e-01;4.77344986e-01;5.32551418e-01;5.85325544e-01;6.35041059e-01;6.81210224e-01;7.23505265e-01;7.61760500e-01;7.95958823e-01;8.26207735e-01;8.52710335e-01;8.75735779e-01;8.95592401e-01;9.12605310e-01;9.27099071e-01;9.39385335e-01;9.49754775e-01;9.58472494e-01;9.65776068e-01;9.71875457e-01;9.76954154e-01;9.81171093e-01;9.84662937e-01;9.87546519e-01;9.89921239e-01;9.91871342e-01;9.93468000e-01;9.94771178e-01;9.95831285e-01;9.96690603e-01;9.97384531e-01;9.97942644e-01;9.98389601e-01;9.98745912e-01;9.99028593e-01;9.99251721e-01;9.99426904e-01;9.99563676e-01;9.99669837e-01;9.99751739e-01;9.99814528e-01;9.99862353e-01;9.99898537e-01;9.99925725e-01;9.99946010e-01;9.99961036e-01;9.99972085e-01;9.99980148e-01;9.99985987e-01;9.99990184e-01;9.99993176e-01;9.99995293e-01;9.99996779e-01;9.99997813e-01;9.99998526e-01;9.99999015e-01;9.99999347e-01;9.99999571e-01;9.99999720e-01;9.99999819e-01;9.99999884e-01;9.99999926e-01;9.99999953e-01;9.99999971e-01;9.99999982e-01;9.99999989e-01;9.99999993e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;7.73818229e-02;1.06189383e+00;1.10442149e+00
