A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 1.00000000e+00
beta = 0.00000000e+00
r_power = 1
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

2.50000000e-02;7.50000000e-02;1.25000000e-01;1.75000000e-01;2.25000000e-01;2.75000000e-01;3.25000000e-01;3.75000000e-01;4.25000000e-01;4.75000000e-01;5.25000000e-01;5.75000000e-01;6.25000000e-01;6.75000000e-01;7.25000000e-01;7.75000000e-01;8.25000000e-01;8.75000000e-01;9.25000000e-01;9.75000000e-01;1.02500000e+00;1.07500000e+00;1.12500000e+00;1.17500000e+00;1.22500000e+00;1.27500000e+00;1.32500000e+00;1.37500000e+00;1.42500000e+00;1.47500000e+00;1.52500000e+00;1.57500000e+00;1.62500000e+00;1.67500000e+00;1.72500000e+00;1.77500000e+00;1.82500000e+00;1.87500000e+00;1.92500000e+00;1.97500000e+00;2.02500000e+00;2.07500000e+00;2.12500000e+00;2.17500000e+00;2.22500000e+00;2.27500000e+00;2.32500000e+00;2.37500000e+00;2.42500000e+00;2.47500000e+00;2.52500000e+00;2.57500000e+00;2.62500000e+00;2.67500000e+00;2.72500000e+00;2.77500000e+00;2.82500000e+00;2.87500000e+00;2.92500000e+00;2.97500000e+00;3.02500000e+00;3.07500000e+00;3.12500000e+00;3.17500000e+00;3.22500000e+00;3.27500000e+00;3.32500000e+00;3.37500000e+00;3.42500000e+00;3.47500000e+00;3.52500000e+00;3.57500000e+00;3.62500000e+00;3.67500000e+00;3.72500000e+00;3.77500000e+00;3.82500000e+00;3.87500000e+00;3.92500000e+00;3.97500000e+00;4.02500000e+00;4.07500000e+00;4.12500000e+00;4.17500000e+00;4.22500000e+00;4.27500000e+00;4.32500000e+00;4.37500000e+00;4.42500000e+00;4.47500000e+00;4.52500000e+00;4.57500000e+00;4.62500000e+00;4.67500000e+00;4.72500000e+00;4.77500000e+00;4.82500000e+00;4.87500000e+00;4.92500000e+00;4.97500000e+00;5.00000000e+00;5.90711468e-01;3.05618884e+00;3.28588244e+02
6.85232623e-04;6.15582970e-03;1.70370869e-02;3.32097868e-02;5.44967379e-02;8.06647160e-02;1.11427019e-01;1.46446609e-01;1.85339804e-01;2.27680482e-01;2.73004750e-01;3.20816025e-01;3.70590477e-01;4.21782767e-01;4.73832022e-01;5.26167978e-01;5.78217233e-01;6.29409523e-01;6.79183975e-01;7.26995250e-01;7.72319518e-01;8.14660196e-01;8.53553391e-01;8.88572981e-01;9.19335284e-01;9.45503262e-01;9.66790213e-01;9.82962913e-01;9.93844170e-01;9.99314767e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;5.90711468e-01;3.05618884e+00;3.28588244e+02
4.96567940e-03;1.99830020e-02;4.43527490e-02;7.53407022e-02;1.11119211e-01;1.50426095e-01;1.92302880e-01;2.35982674e-01;2.80830378e-01;3.26307114e-01;3.71947740e-01;4.17346168e-01;4.62145647e-01;5.06032303e-01;5.48730870e-01;5.90001852e-01;6.29639606e-01;6.67470967e-01;7.03354132e-01;7.37177624e-01;7.68859188e-01;7.98344542e-01;8.25605930e-01;8.50640478e-01;8.73468333e-01;8.94130631e-01;9.12687322e-01;9.29214877e-01;9.43803949e-01;9.56557006e-01;9.67585979e-01;9.77009983e-01;9.84953112e-01;9.91542362e-01;9.96905690e-01;1.00117023e+00;1.00446069e+00;1.00689791e+00;1.00859765e+00;1.00966948e+00;1.01021602e+00;1.01033218e+00;1.01010472e+00;1.00961196e+00;1.00892358e+00;1.00810072e+00;1.00719607e+00;1.00625416e+00;1.00531181e+00;1.00439857e+00;1.00353730e+00;1.00274478e+00;1.00203242e+00;1.00140685e+00;1.00087072e+00;1.00042327e+00;1.00006105e+00;9.99778505e-01;9.99568555e-01;9.99423098e-01;9.99333470e-01;9.99290838e-01;9.99286522e-01;9.99312266e-01;9.99360433e-01;9.99424154e-01;9.99497424e-01;9.99575141e-01;9.99653117e-01;9.99728049e-01;9.99797468e-01;9.99859657e-01;9.99913571e-01;9.99958735e-01;9.99995146e-01;1.00002318e+00;1.00004348e+00;1.00005689e+00;1.00006438e+00;1.00006696e+00;1.00006564e+00;1.00006137e+00;1.00005505e+00;1.00004745e+00;1.00003924e+00;1.00003097e+00;1.00002307e+00;1.00001586e+00;1.00000956e+00;1.00000430e+00;1.00000013e+00;9.99997050e-01;9.99995006e-01;9.99993909e-01;9.99993645e-01;9.99994083e-01;9.99995083e-01;9.99996500e-01;9.99998187e-01;1.00000000e+00;1.00000000e+00;-1.04856410e+00;-4.79378930e-01;1.12945430e+00
5.48368337e-03;2.19313525e-02;4.84348316e-02;8.18617297e-02;1.20145815e-01;1.61861222e-01;2.05929980e-01;2.51497183e-01;2.97864771e-01;3.44452210e-01;3.90771497e-01;4.36410505e-01;4.81021477e-01;5.24312779e-01;5.66042754e-01;6.06014906e-01;6.44073916e-01;6.80102158e-01;7.14016477e-01;7.45765124e-01;7.75324736e-01;8.02697370e-01;8.27907543e-01;8.50999331e-01;8.72033527e-01;8.91084905e-01;9.08239608e-01;9.23592703e-01;9.37245906e-01;9.49305518e-01;9.59880561e-01;9.69081129e-01;9.77016949e-01;9.83796154e-01;9.89524243e-01;9.94303226e-01;9.98230938e-01;1.00140050e+00;1.00389993e+00;1.00581185e+00;1.00721329e+00;1.00817564e+00;1.00876462e+00;1.00904030e+00;1.00905726e+00;1.00886469e+00;1.00850663e+00;1.00802212e+00;1.00744550e+00;1.00680665e+00;1.00613123e+00;1.00544103e+00;1.00475419e+00;1.00408556e+00;1.00344695e+00;1.00284742e+00;1.00229363e+00;1.00179003e+00;1.00133923e+00;1.00094218e+00;1.00059848e+00;1.00030658e+00;1.00006403e+00;9.99867655e-01;9.99713758e-01;9.99598292e-01;9.99516999e-01;9.99465547e-01;9.99439641e-01;9.99435115e-01;9.99448015e-01;9.99474650e-01;9.99511645e-01;9.99555967e-01;9.99604942e-01;9.99656266e-01;9.99707994e-01;9.99758531e-01;9.99806616e-01;9.99851289e-01;9.99891870e-01;9.99927924e-01;9.99959229e-01;9.99985740e-01;1.00000756e+00;1.00002491e+00;1.00003808e+00;1.00004745e+00;1.00005341e+00;1.00005638e+00;1.00005676e+00;1.00005496e+00;1.00005135e+00;1.00004627e+00;1.00004004e+00;1.00003292e+00;1.00002515e+00;1.00001696e+00;1.00000851e+00;1.00000000e+00;1.00000000e+00;-1.18742407e+00;-6.54538014e-01;3.47431222e-01
5.64541309e-03;2.25452254e-02;4.97315665e-02;8.39522654e-02;1.23068345e-01;1.65603731e-01;2.10443273e-01;2.56703962e-01;3.03666699e-01;3.50735820e-01;3.97413349e-01;4.43281806e-01;4.87992241e-01;5.31255552e-01;5.72835909e-01;6.12545484e-01;6.50239998e-01;6.85814746e-01;7.19200891e-01;7.50361908e-01;7.79290107e-01;8.06003221e-01;8.30541058e-01;8.52962241e-01;8.73341073e-01;8.91764547e-01;9.08329554e-01;9.23140293e-01;9.36305919e-01;9.47938438e-01;9.58150857e-01;9.67055578e-01;9.74763049e-01;9.81380641e-01;9.87011744e-01;9.91755071e-01;9.95704128e-01;9.98946860e-01;1.00156543e+00;1.00363610e+00;1.00522927e+00;1.00640948e+00;1.00723566e+00;1.00776123e+00;1.00803439e+00;1.00809839e+00;1.00799177e+00;1.00774871e+00;1.00739928e+00;1.00696980e+00;1.00648305e+00;1.00595867e+00;1.00541333e+00;1.00486108e+00;1.00431355e+00;1.00378025e+00;1.00326872e+00;1.00278483e+00;1.00233292e+00;1.00191601e+00;1.00153599e+00;1.00119373e+00;1.00088930e+00;1.00062206e+00;1.00039078e+00;1.00019379e+00;1.00002905e+00;9.99894256e-01;9.99786918e-01;9.99704438e-01;9.99644169e-01;9.99603469e-01;9.99579748e-01;9.99570507e-01;9.99573370e-01;9.99586108e-01;9.99606655e-01;9.99633125e-01;9.99663820e-01;9.99697229e-01;9.99732031e-01;9.99767093e-01;9.99801460e-01;9.99834347e-01;9.99865132e-01;9.99893341e-01;9.99918638e-01;9.99940808e-01;9.99959748e-01;9.99975455e-01;9.99988006e-01;9.99997556e-01;1.00000432e+00;1.00000856e+00;1.00001058e+00;1.00001073e+00;1.00000936e+00;1.00000686e+00;1.00000361e+00;1.00000000e+00;1.00000000e+00;-1.22957437e+00;-7.04113111e-01;1.53682261e-01
5.71539968e-03;2.28124948e-02;5.02992022e-02;8.48728516e-02;1.24363525e-01;1.67273738e-01;2.12472381e-01;2.59064231e-01;3.06320850e-01;3.53639607e-01;4.00517620e-01;4.46534332e-01;4.91339367e-01;5.34643687e-01;5.76212851e-01;6.15861588e-01;6.53449165e-01;6.88875248e-01;7.22076013e-01;7.53020417e-01;7.81706554e-01;8.08158078e-01;8.32420712e-01;8.54558852e-01;8.74652317e-01;8.92793262e-01;9.09083305e-01;9.23630873e-01;9.36548811e-01;9.47952243e-01;9.57956710e-01;9.66676566e-01;9.74223637e-01;9.80706121e-01;9.86227713e-01;9.90886946e-01;9.94776707e-01;9.97983922e-01;1.00058939e+00;1.00266772e+00;1.00428741e+00;1.00551093e+00;1.00639497e+00;1.00699065e+00;1.00734384e+00;1.00749544e+00;1.00748172e+00;1.00733465e+00;1.00708225e+00;1.00674889e+00;1.00635563e+00;1.00592053e+00;1.00545894e+00;1.00498376e+00;1.00450574e+00;1.00403367e+00;1.00357464e+00;1.00313426e+00;1.00271679e+00;1.00232537e+00;1.00196217e+00;1.00162848e+00;1.00132492e+00;1.00105149e+00;1.00080770e+00;1.00059264e+00;1.00040511e+00;1.00024363e+00;1.00010657e+00;9.99992127e-01;9.99898447e-01;9.99823620e-01;9.99765739e-01;9.99722915e-01;9.99693315e-01;9.99675173e-01;9.99666813e-01;9.99666660e-01;9.99673248e-01;9.99685230e-01;9.99701382e-01;9.99720605e-01;9.99741924e-01;9.99764489e-01;9.99787568e-01;9.99810549e-01;9.99832929e-01;9.99854312e-01;9.99874400e-01;9.99892986e-01;9.99909947e-01;9.99925235e-01;9.99938871e-01;9.99950932e-01;9.99961550e-01;9.99970894e-01;9.99979172e-01;9.99986614e-01;9.99993471e-01;1.00000000e+00;1.00000000e+00;-1.24746311e+00;-7.24074630e-01;8.25274764e-02
5.75172816e-03;2.29518616e-02;5.05963805e-02;8.53569244e-02;1.25047731e-01;1.68160337e-01;2.13555419e-01;2.60331422e-01;3.07755005e-01;3.55219803e-01;4.02220209e-01;4.48333833e-01;4.93209269e-01;5.36557176e-01;5.78143459e-01;6.17783764e-01;6.55338778e-01;6.90709998e-01;7.23835769e-01;7.54687474e-01;7.83265809e-01;8.09597138e-01;8.33729925e-01;8.55731288e-01;8.75683682e-01;8.93681777e-01;9.09829537e-01;9.24237544e-01;9.37020576e-01;9.48295461e-01;9.58179197e-01;9.66787350e-01;9.74232711e-01;9.80624202e-01;9.86066015e-01;9.90656955e-01;9.94489977e-01;9.97651891e-01;1.00022320e+00;1.00227809e+00;1.00388445e+00;1.00510409e+00;1.00599290e+00;1.00660116e+00;1.00697382e+00;1.00715083e+00;1.00716750e+00;1.00705485e+00;1.00683991e+00;1.00654616e+00;1.00619375e+00;1.00579992e+00;1.00537925e+00;1.00494393e+00;1.00450407e+00;1.00406793e+00;1.00364214e+00;1.00323191e+00;1.00284122e+00;1.00247300e+00;1.00212926e+00;1.00181126e+00;1.00151962e+00;1.00125442e+00;1.00101529e+00;1.00080155e+00;1.00061220e+00;1.00044605e+00;1.00030174e+00;1.00017781e+00;1.00007273e+00;9.99984932e-01;9.99912853e-01;9.99854939e-01;9.99809681e-01;9.99775623e-01;9.99751379e-01;9.99735639e-01;9.99727181e-01;9.99724870e-01;9.99727666e-01;9.99734625e-01;9.99744897e-01;9.99757725e-01;9.99772446e-01;9.99788483e-01;9.99805347e-01;9.99822628e-01;9.99839992e-01;9.99857176e-01;9.99873983e-01;9.99890272e-01;9.99905960e-01;9.99921006e-01;9.99935414e-01;9.99949219e-01;9.99962487e-01;9.99975303e-01;9.99987770e-01;1.00000000e+00;1.00000000e+00;-1.25661174e+00;-7.33854486e-01;4.99029791e-02
5.77292301e-03;2.30334535e-02;5.07708896e-02;8.56421159e-02;1.25452224e-01;1.68686410e-01;2.14200593e-01;2.61089535e-01;3.08617020e-01;3.56174467e-01;4.03254612e-01;4.49433909e-01;4.94360242e-01;5.37743961e-01;5.79351025e-01;6.18997459e-01;6.56544601e-01;6.91894843e-01;7.24987615e-01;7.55795537e-01;7.84320651e-01;8.10590737e-01;8.34655710e-01;8.56584135e-01;8.76459890e-01;8.94379010e-01;9.10446752e-01;9.24774898e-01;9.37479324e-01;9.48677839e-01;9.58488307e-01;9.67027037e-01;9.74407442e-01;9.80738946e-01;9.86126124e-01;9.90668057e-01;9.94457870e-01;9.97582444e-01;1.00012227e+00;1.00215141e+00;1.00373762e+00;1.00494243e+00;1.00582147e+00;1.00642467e+00;1.00679659e+00;1.00697679e+00;1.00700013e+00;1.00689719e+00;1.00669456e+00;1.00641524e+00;1.00607897e+00;1.00570254e+00;1.00530010e+00;1.00488346e+00;1.00446237e+00;1.00404475e+00;1.00363690e+00;1.00324378e+00;1.00286914e+00;1.00251569e+00;1.00218531e+00;1.00187911e+00;1.00159763e+00;1.00134090e+00;1.00110854e+00;1.00089985e+00;1.00071390e+00;1.00054954e+00;1.00040552e+00;1.00028048e+00;1.00017300e+00;1.00008166e+00;1.00000504e+00;9.99941735e-01;9.99890396e-01;9.99849722e-01;9.99818481e-01;9.99795515e-01;9.99779741e-01;9.99770162e-01;9.99765861e-01;9.99766004e-01;9.99769840e-01;9.99776696e-01;9.99785978e-01;9.99797165e-01;9.99809805e-01;9.99823513e-01;9.99837964e-01;9.99852891e-01;9.99868077e-01;9.99883353e-01;9.99898592e-01;9.99913702e-01;9.99928625e-01;9.99943329e-01;9.99957805e-01;9.99972060e-01;9.99986116e-01;1.00000000e+00;1.00000000e+00;-1.26188817e+00;-7.39300932e-01;3.26040043e-02
5.78630410e-03;2.30851004e-02;5.08816029e-02;8.58234927e-02;1.25710134e-01;1.69022752e-01;2.14614281e-01;2.61577167e-01;3.09173372e-01;3.56792901e-01;4.03927422e-01;4.50152621e-01;4.95115885e-01;5.38527317e-01;5.80152847e-01;6.19808666e-01;6.57356453e-01;6.92699083e-01;7.25776592e-01;7.56562301e-01;7.85059022e-01;8.11295353e-01;8.35322051e-01;8.57208530e-01;8.77039505e-01;8.94911819e-01;9.10931500e-01;9.25211051e-01;9.37867011e-01;9.49017793e-01;9.58781797e-01;9.67275803e-01;9.74613624e-01;9.80905021e-01;9.86254840e-01;9.90762371e-01;9.94520890e-01;9.97617371e-01;1.00013235e+00;1.00213990e+00;1.00370770e+00;1.00489724e+00;1.00576401e+00;1.00635780e+00;1.00672300e+00;1.00689899e+00;1.00692043e+00;1.00681767e+00;1.00661708e+00;1.00634144e+00;1.00601025e+00;1.00564006e+00;1.00524482e+00;1.00483610e+00;1.00442346e+00;1.00401460e+00;1.00361566e+00;1.00323141e+00;1.00286545e+00;1.00252037e+00;1.00219790e+00;1.00189908e+00;1.00162435e+00;1.00137367e+00;1.00114661e+00;1.00094246e+00;1.00076024e+00;1.00059882e+00;1.00045696e+00;1.00033331e+00;1.00022651e+00;1.00013517e+00;1.00005792e+00;9.99993425e-01;9.99940393e-01;9.99897595e-01;9.99863868e-01;9.99838126e-01;9.99819357e-01;9.99806632e-01;9.99799099e-01;9.99795986e-01;9.99796597e-01;9.99800312e-01;9.99806581e-01;9.99814919e-01;9.99824907e-01;9.99836181e-01;9.99848433e-01;9.99861406e-01;9.99874884e-01;9.99888693e-01;9.99902695e-01;9.99916783e-01;9.99930877e-01;9.99944920e-01;9.99958873e-01;9.99972711e-01;9.99986422e-01;1.00000000e+00;1.00000000e+00;-1.26519020e+00;-7.42615567e-01;2.23809606e-02
5.79522386e-03;2.31195952e-02;5.09556728e-02;8.59450585e-02;1.25883323e-01;1.69249059e-01;2.14893223e-01;2.61906719e-01;3.09550298e-01;3.57213015e-01;4.04385812e-01;4.50643850e-01;4.95634165e-01;5.39066667e-01;5.80707239e-01;6.20372152e-01;6.57923276e-01;6.93263772e-01;7.26334043e-01;7.57107838e-01;7.85588445e-01;8.11804970e-01;8.35808697e-01;8.57669572e-01;8.77472834e-01;8.95315840e-01;9.11305104e-01;9.25553589e-01;9.38178261e-01;9.49297919e-01;9.59031311e-01;9.67495525e-01;9.74804641e-01;9.81068647e-01;9.86392576e-01;9.90875868e-01;9.94611913e-01;9.97687769e-01;1.00018402e+00;1.00217476e+00;1.00372768e+00;1.00490423e+00;1.00575986e+00;1.00634429e+00;1.00670185e+00;1.00687180e+00;1.00688873e+00;1.00678285e+00;1.00658043e+00;1.00630413e+00;1.00597331e+00;1.00560442e+00;1.00521126e+00;1.00480529e+00;1.00439594e+00;1.00399080e+00;1.00359591e+00;1.00321592e+00;1.00285435e+00;1.00251368e+00;1.00219558e+00;1.00190101e+00;1.00163035e+00;1.00138350e+00;1.00116000e+00;1.00095907e+00;1.00077974e+00;1.00062085e+00;1.00048114e+00;1.00035926e+00;1.00025385e+00;1.00016353e+00;1.00008694e+00;1.00002278e+00;9.99969761e-01;9.99926688e-01;9.99892426e-01;9.99865916e-01;9.99846180e-01;9.99832317e-01;9.99823508e-01;9.99819010e-01;9.99818157e-01;9.99820354e-01;9.99825075e-01;9.99831859e-01;9.99840305e-01;9.99850067e-01;9.99860850e-01;9.99872405e-01;9.99884525e-01;9.99897041e-01;9.99909815e-01;9.99922739e-01;9.99935730e-01;9.99948725e-01;9.99961677e-01;9.99974554e-01;9.99987334e-01;1.00000000e+00;1.00000000e+00;-1.26737675e+00;-7.44763271e-01;1.58576140e-02
