A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 1.00000000e+00
r_power = 1
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

2.50000000e-02;7.50000000e-02;1.25000000e-01;1.75000000e-01;2.25000000e-01;2.75000000e-01;3.25000000e-01;3.75000000e-01;4.25000000e-01;4.75000000e-01;5.25000000e-01;5.75000000e-01;6.25000000e-01;6.75000000e-01;7.25000000e-01;7.75000000e-01;8.25000000e-01;8.75000000e-01;9.25000000e-01;9.75000000e-01;1.02500000e+00;1.07500000e+00;1.12500000e+00;1.17500000e+00;1.22500000e+00;1.27500000e+00;1.32500000e+00;1.37500000e+00;1.42500000e+00;1.47500000e+00;1.52500000e+00;1.57500000e+00;1.62500000e+00;1.67500000e+00;1.72500000e+00;1.77500000e+00;1.82500000e+00;1.87500000e+00;1.92500000e+00;1.97500000e+00;2.02500000e+00;2.07500000e+00;2.12500000e+00;2.17500000e+00;2.22500000e+00;2.27500000e+00;2.32500000e+00;2.37500000e+00;2.42500000e+00;2.47500000e+00;2.52500000e+00;2.57500000e+00;2.62500000e+00;2.67500000e+00;2.72500000e+00;2.77500000e+00;2.82500000e+00;2.87500000e+00;2.92500000e+00;2.97500000e+00;3.02500000e+00;3.07500000e+00;3.12500000e+00;3.17500000e+00;3.22500000e+00;3.27500000e+00;3.32500000e+00;3.37500000e+00;3.42500000e+00;3.47500000e+00;3.52500000e+00;3.57500000e+00;3.62500000e+00;3.67500000e+00;3.72500000e+00;3.77500000e+00;3.82500000e+00;3.87500000e+00;3.92500000e+00;3.97500000e+00;4.02500000e+00;4.07500000e+00;4.12500000e+00;4.17500000e+00;4.22500000e+00;4.27500000e+00;4.32500000e+00;4.37500000e+00;4.42500000e+00;4.47500000e+00;4.52500000e+00;4.57500000e+00;4.62500000e+00;4.67500000e+00;4.72500000e+00;4.77500000e+00;4.82500000e+00;4.87500000e+00;4.92500000e+00;4.97500000e+00;5.00000000e+00;-8.13766522e-02;2.69058474e-01;6.17916141e+00
6.85232623e-04;6.15582970e-03;1.70370869e-02;3.32097868e-02;5.44967379e-02;8.06647160e-02;1.11427019e-01;1.46446609e-01;1.85339804e-01;2.27680482e-01;2.73004750e-01;3.20816025e-01;3.70590477e-01;4.21782767e-01;4.73832022e-01;5.26167978e-01;5.78217233e-01;6.29409523e-01;6.79183975e-01;7.26995250e-01;7.72319518e-01;8.14660196e-01;8.53553391e-01;8.88572981e-01;9.19335284e-01;9.45503262e-01;9.66790213e-01;9.82962913e-01;9.93844170e-01;9.99314767e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;-8.13766522e-02;2.69058474e-01;6.17916141e+00
5.26674014e-02;9.11657675e-02;1.23920081e-01;1.54520151e-01;1.85536397e-01;2.17979683e-01;2.52111315e-01;2.87865195e-01;3.25039153e-01;3.63377704e-01;4.02607468e-01;4.42452252e-01;4.82639335e-01;5.22901919e-01;5.62979896e-01;6.02619885e-01;6.41574929e-01;6.79604011e-01;7.16471428e-01;7.51946006e-01;7.85800126e-01;8.17808541e-01;8.47747075e-01;8.75391444e-01;9.00516994e-01;9.22901151e-01;9.42332607e-01;9.58634858e-01;9.71714668e-01;9.81637560e-01;9.88695365e-01;9.93392041e-01;9.96326329e-01;9.98055603e-01;9.99020016e-01;9.99529733e-01;9.99785169e-01;9.99906569e-01;9.99961306e-01;9.99984733e-01;9.99994257e-01;9.99997939e-01;9.99999294e-01;9.99999768e-01;9.99999927e-01;9.99999978e-01;9.99999994e-01;9.99999998e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;5.66532195e-01;-1.50008552e-01;3.97061913e+00
7.96776703e-02;1.40066227e-01;1.91236394e-01;2.35598270e-01;2.75973297e-01;3.14025515e-01;3.50772936e-01;3.86826996e-01;4.22527769e-01;4.58032977e-01;4.93379400e-01;5.28525023e-01;5.63377536e-01;5.97813376e-01;6.31690417e-01;6.64856424e-01;6.97154746e-01;7.28428168e-01;7.58521559e-01;7.87283719e-01;8.14568722e-01;8.40236983e-01;8.64156326e-01;8.86203388e-01;9.06265915e-01;9.24246782e-01;9.40070917e-01;9.53696323e-01;9.65129460e-01;9.74442243e-01;9.81783426e-01;9.87375024e-01;9.91490092e-01;9.94419150e-01;9.96438259e-01;9.97787697e-01;9.98662721e-01;9.99213433e-01;9.99549893e-01;9.99749448e-01;9.99864346e-01;9.99928568e-01;9.99963418e-01;9.99981779e-01;9.99991173e-01;9.99995840e-01;9.99998093e-01;9.99999149e-01;9.99999630e-01;9.99999844e-01;9.99999936e-01;9.99999974e-01;9.99999990e-01;9.99999996e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.18745261e-01;-1.09888521e-01;2.76183527e+00
9.51624260e-02;1.67963297e-01;2.30114059e-01;2.83800309e-01;3.31895428e-01;3.76036925e-01;4.17245676e-01;4.56198924e-01;4.93358350e-01;5.29037751e-01;5.63443503e-01;5.96701622e-01;6.28877501e-01;6.59991054e-01;6.90028632e-01;7.18952482e-01;7.46708271e-01;7.73231064e-01;7.98450108e-01;8.22292689e-01;8.44687330e-01;8.65566558e-01;8.84869499e-01;9.02544544e-01;9.18552377e-01;9.32869625e-01;9.45493266e-01;9.56445593e-01;9.65778970e-01;9.73578892e-01;9.79963611e-01;9.85079136e-01;9.89090002e-01;9.92167767e-01;9.94479845e-01;9.96180702e-01;9.97406243e-01;9.98271285e-01;9.98869438e-01;9.99274612e-01;9.99543454e-01;9.99718178e-01;9.99829395e-01;9.99898727e-01;9.99941055e-01;9.99966362e-01;9.99981179e-01;9.99989676e-01;9.99994447e-01;9.99997072e-01;9.99998486e-01;9.99999232e-01;9.99999618e-01;9.99999814e-01;9.99999911e-01;9.99999958e-01;9.99999981e-01;9.99999991e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;9.65785933e-01;-9.43668648e-02;2.03455443e+00
1.05365856e-01;1.86308318e-01;2.55710862e-01;3.15724385e-01;3.69339205e-01;4.18207384e-01;4.63325349e-01;5.05340481e-01;5.44696765e-01;5.81710764e-01;6.16614327e-01;6.49580036e-01;6.80737168e-01;7.10182217e-01;7.37986265e-01;7.64200481e-01;7.88860514e-01;8.11990213e-01;8.33604927e-01;8.53714518e-01;8.72326183e-01;8.89447146e-01;9.05087269e-01;9.19261629e-01;9.31993058e-01;9.43314595e-01;9.53271677e-01;9.61923790e-01;9.69345190e-01;9.75624328e-01;9.80861797e-01;9.85166932e-01;9.88653514e-01;9.91435222e-01;9.93621458e-01;9.95313999e-01;9.96604671e-01;9.97574054e-01;9.98291080e-01;9.98813339e-01;9.99187874e-01;9.99452298e-01;9.99636062e-01;9.99761759e-01;9.99846373e-01;9.99902426e-01;9.99938964e-01;9.99962399e-01;9.99977189e-01;9.99986373e-01;9.99991984e-01;9.99995357e-01;9.99997351e-01;9.99998512e-01;9.99999177e-01;9.99999552e-01;9.99999760e-01;9.99999873e-01;9.99999934e-01;9.99999966e-01;9.99999983e-01;9.99999992e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.06334215e+00;-8.61733187e-02;1.53407249e+00
1.12465317e-01;1.99058841e-01;2.73500965e-01;3.37949854e-01;3.95505575e-01;4.47853337e-01;4.95986035e-01;5.40530983e-01;5.81906675e-01;6.20405869e-01;6.56243315e-01;6.89584837e-01;7.20565738e-01;7.49302628e-01;7.75900929e-01;8.00459440e-01;8.23072851e-01;8.43832886e-01;8.62828644e-01;8.80146567e-01;8.95870391e-01;9.10081320e-01;9.22858511e-01;9.34279864e-01;9.44423023e-01;9.53366399e-01;9.61190038e-01;9.67976143e-01;9.73809118e-01;9.78775088e-01;9.82960933e-01;9.86452977e-01;9.89335491e-01;9.91689212e-01;9.93590023e-01;9.95107911e-01;9.96306238e-01;9.97241360e-01;9.97962532e-01;9.98512087e-01;9.98925810e-01;9.99233466e-01;9.99459415e-01;9.99623279e-01;9.99740616e-01;9.99823563e-01;9.99881447e-01;9.99921318e-01;9.99948425e-01;9.99966612e-01;9.99978655e-01;9.99986525e-01;9.99991600e-01;9.99994829e-01;9.99996857e-01;9.99998114e-01;9.99998882e-01;9.99999346e-01;9.99999622e-01;9.99999784e-01;9.99999879e-01;9.99999932e-01;9.99999963e-01;9.99999980e-01;9.99999989e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.13146720e+00;-8.12243124e-02;1.14880595e+00
1.17489703e-01;2.08076714e-01;2.86080354e-01;3.53674704e-01;4.14047641e-01;4.68917415e-01;5.19282552e-01;5.65761701e-01;6.08757121e-01;6.48541847e-01;6.85310454e-01;7.19210818e-01;7.50365154e-01;7.78884485e-01;8.04878673e-01;8.28463041e-01;8.49762084e-01;8.68910511e-01;8.86051916e-01;9.01335650e-01;9.14912662e-01;9.26931257e-01;9.37533540e-01;9.46853039e-01;9.55013559e-01;9.62129085e-01;9.68304367e-01;9.73635822e-01;9.78212495e-01;9.82116871e-01;9.85425494e-01;9.88209366e-01;9.90534170e-01;9.92460377e-01;9.94043286e-01;9.95333067e-01;9.96374811e-01;9.97208646e-01;9.97869900e-01;9.98389332e-01;9.98793414e-01;9.99104664e-01;9.99342002e-01;9.99521136e-01;9.99654941e-01;9.99753840e-01;9.99826165e-01;9.99878491e-01;9.99915938e-01;9.99942447e-01;9.99961007e-01;9.99973858e-01;9.99982659e-01;9.99988618e-01;9.99992609e-01;9.99995252e-01;9.99996982e-01;9.99998102e-01;9.99998820e-01;9.99999274e-01;9.99999558e-01;9.99999734e-01;9.99999841e-01;9.99999906e-01;9.99999945e-01;9.99999969e-01;9.99999982e-01;9.99999990e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.17978465e+00;-7.80406853e-02;8.49438608e-01
1.21052666e-01;2.14468956e-01;2.94995292e-01;3.64821235e-01;4.27200885e-01;4.83879881e-01;5.35864528e-01;5.83770639e-01;6.27991379e-01;6.68786862e-01;7.06336541e-01;7.40772392e-01;7.72201505e-01;8.00722473e-01;8.26437798e-01;8.49463265e-01;8.69934365e-01;8.88009290e-01;9.03867946e-01;9.17706924e-01;9.29731350e-01;9.40145475e-01;9.49144125e-01;9.56906533e-01;9.63593079e-01;9.69344564e-01;9.74283249e-01;9.78514831e-01;9.82130758e-01;9.85210455e-01;9.87823297e-01;9.90030229e-01;9.91885066e-01;9.93435490e-01;9.94723827e-01;9.95787643e-01;9.96660216e-01;9.97370925e-01;9.97945576e-01;9.98406703e-01;9.98773844e-01;9.99063809e-01;9.99290933e-01;9.99467338e-01;9.99603174e-01;9.99706857e-01;9.99785295e-01;9.99844101e-01;9.99887788e-01;9.99919943e-01;9.99943391e-01;9.99960330e-01;9.99972451e-01;9.99981041e-01;9.99987072e-01;9.99991266e-01;9.99994153e-01;9.99996122e-01;9.99997452e-01;9.99998341e-01;9.99998930e-01;9.99999316e-01;9.99999567e-01;9.99999729e-01;9.99999831e-01;9.99999896e-01;9.99999937e-01;9.99999962e-01;9.99999977e-01;9.99999986e-01;9.99999992e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.21409529e+00;-7.59268902e-02;6.18710326e-01
1.23571092e-01;2.18985992e-01;3.01293949e-01;3.72697230e-01;4.36498393e-01;4.94464135e-01;5.47607977e-01;5.96545381e-01;6.41664558e-01;6.83217595e-01;7.21373772e-01;7.56253450e-01;7.87951452e-01;8.16554536e-01;8.42155417e-01;8.64864402e-01;8.84818575e-01;9.02187504e-01;9.17173844e-01;9.30007670e-01;9.40935118e-01;9.50204038e-01;9.58050460e-01;9.64688823e-01;9.70306966e-01;9.75065217e-01;9.79098192e-01;9.82517951e-01;9.85417555e-01;9.87874445e-01;9.89953405e-01;9.91709008e-01;9.93187581e-01;9.94428743e-01;9.95466604e-01;9.96330677e-01;9.97046589e-01;9.97636635e-01;9.98120214e-01;9.98514177e-01;9.98833128e-01;9.99089665e-01;9.99294608e-01;9.99457193e-01;9.99585249e-01;9.99685370e-01;9.99763063e-01;9.99822891e-01;9.99868605e-01;9.99903260e-01;9.99929321e-01;9.99948761e-01;9.99963145e-01;9.99973700e-01;9.99981381e-01;9.99986924e-01;9.99990891e-01;9.99993705e-01;9.99995685e-01;9.99997067e-01;9.99998022e-01;9.99998677e-01;9.99999123e-01;9.99999423e-01;9.99999624e-01;9.99999756e-01;9.99999844e-01;9.99999901e-01;9.99999937e-01;9.99999961e-01;9.99999976e-01;9.99999985e-01;9.99999991e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.23836912e+00;-7.44995637e-02;4.45134776e-01
