A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 1.00000000e+00
r_power = 2
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

2.50000000e-02;7.50000000e-02;1.25000000e-01;1.75000000e-01;2.25000000e-01;2.75000000e-01;3.25000000e-01;3.75000000e-01;4.25000000e-01;4.75000000e-01;5.25000000e-01;5.75000000e-01;6.25000000e-01;6.75000000e-01;7.25000000e-01;7.75000000e-01;8.25000000e-01;8.75000000e-01;9.25000000e-01;9.75000000e-01;1.02500000e+00;1.07500000e+00;1.12500000e+00;1.17500000e+00;1.22500000e+00;1.27500000e+00;1.32500000e+00;1.37500000e+00;1.42500000e+00;1.47500000e+00;1.52500000e+00;1.57500000e+00;1.62500000e+00;1.67500000e+00;1.72500000e+00;1.77500000e+00;1.82500000e+00;1.87500000e+00;1.92500000e+00;1.97500000e+00;2.02500000e+00;2.07500000e+00;2.12500000e+00;2.17500000e+00;2.22500000e+00;2.27500000e+00;2.32500000e+00;2.37500000e+00;2.42500000e+00;2.47500000e+00;2.52500000e+00;2.57500000e+00;2.62500000e+00;2.67500000e+00;2.72500000e+00;2.77500000e+00;2.82500000e+00;2.87500000e+00;2.92500000e+00;2.97500000e+00;3.02500000e+00;3.07500000e+00;3.12500000e+00;3.17500000e+00;3.22500000e+00;3.27500000e+00;3.32500000e+00;3.37500000e+00;3.42500000e+00;3.47500000e+00;3.52500000e+00;3.57500000e+00;3.62500000e+00;3.67500000e+00;3.72500000e+00;3.77500000e+00;3.82500000e+00;3.87500000e+00;3.92500000e+00;3.97500000e+00;4.02500000e+00;4.07500000e+00;4.12500000e+00;4.17500000e+00;4.22500000e+00;4.27500000e+00;4.32500000e+00;4.37500000e+00;4.42500000e+00;4.47500000e+00;4.52500000e+00;4.57500000e+00;4.62500000e+00;4.67500000e+00;4.72500000e+00;4.77500000e+00;4.82500000e+00;4.87500000e+00;4.92500000e+00;4.97500000e+00;5.00000000e+00;-1.67148713e-02;1.66060339e-01;8.60866879e+00
6.85232623e-04;6.15582970e-03;1.70370869e-02;3.32097868e-02;5.44967379e-02;8.06647160e-02;1.11427019e-01;1.46446609e-01;1.85339804e-01;2.27680482e-01;2.73004750e-01;3.20816025e-01;3.70590477e-01;4.21782767e-01;4.73832022e-01;5.26167978e-01;5.78217233e-01;6.29409523e-01;6.79183975e-01;7.26995250e-01;7.72319518e-01;8.14660196e-01;8.53553391e-01;8.88572981e-01;9.19335284e-01;9.45503262e-01;9.66790213e-01;9.82962913e-01;9.93844170e-01;9.99314767e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;-1.67148713e-02;1.66060339e-01;8.60866879e+00
1.37201264e-01;1.73658031e-01;2.00399104e-01;2.25744464e-01;2.52927316e-01;2.82430549e-01;3.14056790e-01;3.47465343e-01;3.82304153e-01;4.18240215e-01;4.54963794e-01;4.92186175e-01;5.29636329e-01;5.67057896e-01;6.04206736e-01;6.40848998e-01;6.76759555e-01;7.11720668e-01;7.45520757e-01;7.77953171e-01;8.08814885e-01;8.37905108e-01;8.65023905e-01;8.89971203e-01;9.12547110e-01;9.32555666e-01;9.49816284e-01;9.64190026e-01;9.75628133e-01;9.84237322e-01;9.90323290e-01;9.94357724e-01;9.96872191e-01;9.98350617e-01;9.99172566e-01;9.99605148e-01;9.99820768e-01;9.99922599e-01;9.99968187e-01;9.99987548e-01;9.99995355e-01;9.99998347e-01;9.99999438e-01;9.99999818e-01;9.99999943e-01;9.99999983e-01;9.99999995e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;4.29132145e-01;-1.35546835e-01;6.12343381e+00
2.31104691e-01;2.96837559e-01;3.43253678e-01;3.78270327e-01;4.08227885e-01;4.36353223e-01;4.64152033e-01;4.92228103e-01;5.20748720e-01;5.49679028e-01;5.78893354e-01;6.08227476e-01;6.37503334e-01;6.66540854e-01;6.95163648e-01;7.23201725e-01;7.50492737e-01;7.76882500e-01;8.02225148e-01;8.26383130e-01;8.49227199e-01;8.70636547e-01;8.90499289e-01;9.08713669e-01;9.25190510e-01;9.39857674e-01;9.52667320e-01;9.63606282e-01;9.72708351e-01;9.80064646e-01;9.85826195e-01;9.90194234e-01;9.93399441e-01;9.95676998e-01;9.97245258e-01;9.98292252e-01;9.98970209e-01;9.99396073e-01;9.99655600e-01;9.99809044e-01;9.99897065e-01;9.99946056e-01;9.99972516e-01;9.99986385e-01;9.99993442e-01;9.99996928e-01;9.99998600e-01;9.99999379e-01;9.99999732e-01;9.99999888e-01;9.99999954e-01;9.99999982e-01;9.99999993e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;7.07419263e-01;-9.19798770e-02;4.39294301e+00
2.93110641e-01;3.77807008e-01;4.38575115e-01;4.83664779e-01;5.19746521e-01;5.50483121e-01;5.78100946e-01;6.03953221e-01;6.28817443e-01;6.53101491e-01;6.76987025e-01;7.00522563e-01;7.23680755e-01;7.46392636e-01;7.68567917e-01;7.90107047e-01;8.10908439e-01;8.30872897e-01;8.49906390e-01;8.67921905e-01;8.84840826e-01;9.00594137e-01;9.15123719e-01;9.28383933e-01;9.40343667e-01;9.50988890e-01;9.60325578e-01;9.68382522e-01;9.75213219e-01;9.80895853e-01;9.85530636e-01;9.89234460e-01;9.92133677e-01;9.94356333e-01;9.96025188e-01;9.97252416e-01;9.98136288e-01;9.98759731e-01;9.99190379e-01;9.99481672e-01;9.99674599e-01;9.99799705e-01;9.99879131e-01;9.99928497e-01;9.99958536e-01;9.99976431e-01;9.99986868e-01;9.99992828e-01;9.99996160e-01;9.99997985e-01;9.99998963e-01;9.99999477e-01;9.99999741e-01;9.99999874e-01;9.99999940e-01;9.99999972e-01;9.99999987e-01;9.99999994e-01;9.99999997e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;8.92488929e-01;-7.48138196e-02;3.30439787e+00
3.37084086e-01;4.35124084e-01;5.06112887e-01;5.58948254e-01;6.00697891e-01;6.35061113e-01;6.64318793e-01;6.90021504e-01;7.13252237e-01;7.34750757e-01;7.54998659e-01;7.74289945e-01;7.92788617e-01;8.10572413e-01;8.27664085e-01;8.44052884e-01;8.59709020e-01;8.74593303e-01;8.88663610e-01;9.01879268e-01;9.14204129e-01;9.25608811e-01;9.36072443e-01;9.45584087e-01;9.54143912e-01;9.61764122e-01;9.68469498e-01;9.74297427e-01;9.79297233e-01;9.83528739e-01;9.87060090e-01;9.89965019e-01;9.92319855e-01;9.94200572e-01;9.95680188e-01;9.96826678e-01;9.97701510e-01;9.98358790e-01;9.98844960e-01;9.99198938e-01;9.99452604e-01;9.99631497e-01;9.99755641e-01;9.99840406e-01;9.99897349e-01;9.99934982e-01;9.99959449e-01;9.99975098e-01;9.99984943e-01;9.99991036e-01;9.99994746e-01;9.99996968e-01;9.99998277e-01;9.99999036e-01;9.99999469e-01;9.99999712e-01;9.99999846e-01;9.99999919e-01;9.99999958e-01;9.99999979e-01;9.99999989e-01;9.99999995e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.02411097e+00;-6.59479816e-02;2.48608345e+00
3.68537753e-01;4.76085054e-01;5.54364232e-01;6.12848221e-01;6.59000983e-01;6.96590487e-01;7.27858869e-01;7.54333389e-01;7.77152695e-01;7.97196467e-01;8.15137123e-01;8.31470030e-01;8.46543567e-01;8.60591152e-01;8.73761429e-01;8.86143631e-01;8.97787241e-01;9.08716487e-01;9.18940715e-01;9.28461667e-01;9.37278562e-01;9.45391594e-01;9.52804325e-01;9.59525262e-01;9.65568808e-01;9.70955719e-01;9.75713103e-01;9.79874045e-01;9.83476877e-01;9.86564173e-01;9.89181545e-01;9.91376326e-01;9.93196255e-01;9.94688235e-01;9.95897253e-01;9.96865493e-01;9.97631686e-01;9.98230684e-01;9.98693251e-01;9.99046043e-01;9.99311746e-01;9.99509329e-01;9.99654382e-01;9.99759499e-01;9.99834687e-01;9.99887767e-01;9.99924746e-01;9.99950170e-01;9.99967417e-01;9.99978963e-01;9.99986588e-01;9.99991558e-01;9.99994753e-01;9.99996780e-01;9.99998050e-01;9.99998833e-01;9.99999311e-01;9.99999598e-01;9.99999769e-01;9.99999869e-01;9.99999926e-01;9.99999959e-01;9.99999978e-01;9.99999988e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.11839137e+00;-6.07802347e-02;1.82254289e+00
3.90688586e-01;5.04916597e-01;5.88315846e-01;6.50799111e-01;7.00151617e-01;7.40226907e-01;7.73249655e-01;8.00695398e-01;8.23668826e-01;8.43069579e-01;8.59652603e-01;8.74040319e-01;8.86724256e-01;8.98074265e-01;9.08356963e-01;9.17758068e-01;9.26403666e-01;9.34377944e-01;9.41736879e-01;9.48518329e-01;9.54749225e-01;9.60450599e-01;9.65641000e-01;9.70338734e-01;9.74563262e-01;9.78335963e-01;9.81680438e-01;9.84622477e-01;9.87189786e-01;9.89411544e-01;9.91317870e-01;9.92939236e-01;9.94305888e-01;9.95447301e-01;9.96391700e-01;9.97165660e-01;9.97793804e-01;9.98298589e-01;9.98700187e-01;9.99016453e-01;9.99262959e-01;9.99453092e-01;9.99598200e-01;9.99707767e-01;9.99789609e-01;9.99850080e-01;9.99894271e-01;9.99926211e-01;9.99949041e-01;9.99965178e-01;9.99976456e-01;9.99984251e-01;9.99989577e-01;9.99993176e-01;9.99995580e-01;9.99997168e-01;9.99998205e-01;9.99998875e-01;9.99999302e-01;9.99999572e-01;9.99999740e-01;9.99999844e-01;9.99999907e-01;9.99999946e-01;9.99999968e-01;9.99999982e-01;9.99999990e-01;9.99999994e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.18483946e+00;-5.76038518e-02;1.30008907e+00
4.05959724e-01;5.24787498e-01;6.11709546e-01;6.76953970e-01;7.28543043e-01;7.70406471e-01;8.04769756e-01;8.33072048e-01;8.56373462e-01;8.75550263e-01;8.91377498e-01;9.04544095e-01;9.15638103e-01;9.25133675e-01;9.33393488e-01;9.40684003e-01;9.47195735e-01;9.53062769e-01;9.58378975e-01;9.63210461e-01;9.67604716e-01;9.71597124e-01;9.75215500e-01;9.78483186e-01;9.81421093e-01;9.84049006e-01;9.86386357e-01;9.88452627e-01;9.90267489e-01;9.91850785e-01;9.93222388e-01;9.94402012e-01;9.95408981e-01;9.96262010e-01;9.96978995e-01;9.97576830e-01;9.98071267e-01;9.98476805e-01;9.98806628e-01;9.99072578e-01;9.99285164e-01;9.99453598e-01;9.99585860e-01;9.99688781e-01;9.99768140e-01;9.99828766e-01;9.99874652e-01;9.99909055e-01;9.99934606e-01;9.99953402e-01;9.99967096e-01;9.99976978e-01;9.99984040e-01;9.99989037e-01;9.99992540e-01;9.99994970e-01;9.99996640e-01;9.99997777e-01;9.99998543e-01;9.99999054e-01;9.99999391e-01;9.99999612e-01;9.99999755e-01;9.99999847e-01;9.99999905e-01;9.99999942e-01;9.99999965e-01;9.99999979e-01;9.99999987e-01;9.99999992e-01;9.99999996e-01;9.99999997e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.23067132e+00;-5.56039792e-02;8.99859630e-01
4.16287396e-01;5.38223427e-01;6.27524684e-01;6.94637038e-01;7.47749028e-01;7.90849084e-01;8.26170327e-01;8.55130977e-01;8.78756960e-01;8.97895082e-01;9.13315441e-01;9.25737590e-01;9.35809923e-01;9.44079851e-01;9.50980930e-01;9.56840195e-01;9.61896553e-01;9.66321324e-01;9.70236344e-01;9.73728264e-01;9.76859214e-01;9.79674515e-01;9.82208136e-01;9.84486507e-01;9.86531131e-01;9.88360363e-01;9.89990567e-01;9.91436870e-01;9.92713608e-01;9.93834573e-01;9.94813126e-01;9.95662223e-01;9.96394385e-01;9.97021636e-01;9.97555436e-01;9.98006614e-01;9.98385299e-01;9.98700879e-01;9.98961964e-01;9.99176371e-01;9.99351128e-01;9.99492483e-01;9.99605939e-01;9.99696292e-01;9.99767678e-01;9.99823628e-01;9.99867126e-01;9.99900668e-01;9.99926320e-01;9.99945776e-01;9.99960410e-01;9.99971325e-01;9.99979396e-01;9.99985315e-01;9.99989619e-01;9.99992720e-01;9.99994937e-01;9.99996508e-01;9.99997611e-01;9.99998379e-01;9.99998909e-01;9.99999272e-01;9.99999518e-01;9.99999684e-01;9.99999794e-01;9.99999867e-01;9.99999915e-01;9.99999946e-01;9.99999966e-01;9.99999979e-01;9.99999987e-01;9.99999992e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.26167575e+00;-5.43304369e-02;6.09218172e-01
