A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 2.5e+06
adaptation_type = 0
delta = 0.001
dt_max = 1.28e-8
duration = 1e-5
l = 1.5e-06
m = 12
t_grid = 100000
t_skip = 64
tol_energy = 2e-7
tol_phi = 5e-4
tol_stability = 0.2
width = 3.2e-5
x_grid = 256
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.99358485e-01;9.98212652e-01;9.96521673e-01;9.94325261e-01;9.91674998e-01;9.88633125e-01;9.85271079e-01;9.81667819e-01;9.77907966e-01;9.74079819e-01;9.70273283e-01;9.66577754e-01;9.63080019e-01;9.59862224e-01;9.56999937e-01;9.54560380e-01;9.52600844e-01;9.51167349e-01;9.50293561e-01;9.50000000e-01;9.50293561e-01;9.51167349e-01;9.52600844e-01;9.54560380e-01;9.56999937e-01;9.59862224e-01;9.63080019e-01;9.66577754e-01;9.70273283e-01;9.74079819e-01;9.77907966e-01;9.81667819e-01;9.85271079e-01;9.88633125e-01;9.91674998e-01;9.94325261e-01;9.96521673e-01;9.98212652e-01;9.99358485e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.25873754e-03;4.85274030e-07;9.82314390e-06;4.64719332e+05;inf;1.03751160e+04;1.07591823e-09;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999855e-01;9.99926571e-01;9.99313626e-01;9.98090198e-01;9.96285403e-01;9.93942386e-01;9.91117070e-01;9.87876754e-01;9.84298439e-01;9.80466935e-01;9.76472801e-01;9.72410161e-01;9.68374468e-01;9.64460265e-01;9.60758985e-01;9.57356854e-01;9.54332934e-01;9.51757342e-01;9.49689683e-01;9.48177735e-01;9.47256391e-01;9.46946899e-01;9.47256391e-01;9.48177735e-01;9.49689683e-01;9.51757342e-01;9.54332934e-01;9.57356854e-01;9.60758985e-01;9.64460265e-01;9.68374468e-01;9.72410161e-01;9.76472801e-01;9.80466935e-01;9.84298439e-01;9.87876754e-01;9.91117070e-01;9.93942386e-01;9.96285403e-01;9.98090198e-01;9.99313626e-01;9.99926571e-01;9.99999855e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.50224174e-03;5.46315235e-07;1.10449506e-05;4.89931711e+05;3.99308577e+04;1.03751160e+04;1.02055039e-09;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99999689e-01;9.99920422e-01;9.99265638e-01;9.97959391e-01;9.96033213e-01;9.93534017e-01;9.90522470e-01;9.87071374e-01;9.83263754e-01;9.79190722e-01;9.74949178e-01;9.70639425e-01;9.66362758e-01;9.62219083e-01;9.58304633e-01;9.54709811e-01;9.51517217e-01;9.48799873e-01;9.46619685e-01;9.45026163e-01;9.44055404e-01;9.43729363e-01;9.44055404e-01;9.45026163e-01;9.46619685e-01;9.48799873e-01;9.51517217e-01;9.54709811e-01;9.58304633e-01;9.62219083e-01;9.66362758e-01;9.70639425e-01;9.74949178e-01;9.79190722e-01;9.83263754e-01;9.87071374e-01;9.90522470e-01;9.93534017e-01;9.96033213e-01;9.97959391e-01;9.99265638e-01;9.99920422e-01;9.99999689e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.77391887e-03;6.14559189e-07;1.24081177e-05;5.16119525e+05;4.45233805e+04;1.03751160e+04;9.68767845e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99999498e-01;9.99913778e-01;9.99214304e-01;9.97819666e-01;9.95764050e-01;9.93098504e-01;9.89888885e-01;9.86213988e-01;9.82163361e-01;9.77834896e-01;9.73332270e-01;9.68762334e-01;9.64232516e-01;9.59848308e-01;9.55710883e-01;9.51914906e-01;9.48546543e-01;9.45681713e-01;9.43384596e-01;9.41706396e-01;9.40684376e-01;9.40341172e-01;9.40684376e-01;9.41706396e-01;9.43384596e-01;9.45681713e-01;9.48546543e-01;9.51914906e-01;9.55710883e-01;9.59848308e-01;9.64232516e-01;9.68762334e-01;9.73332270e-01;9.77834896e-01;9.82163361e-01;9.86213988e-01;9.89888885e-01;9.93098504e-01;9.95764050e-01;9.97819666e-01;9.99214304e-01;9.99913778e-01;9.99999498e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-5.07663683e-03;6.90767710e-07;1.39270354e-05;5.43274265e+05;4.95784875e+04;1.03751160e+04;9.20345454e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999997e-01;9.99999282e-01;9.99906599e-01;9.99159391e-01;9.97670421e-01;9.95476793e-01;9.92634098e-01;9.89213872e-01;9.85301441e-01;9.80993419e-01;9.76394991e-01;9.71617070e-01;9.66773439e-01;9.61977959e-01;9.57341919e-01;9.52971570e-01;9.48965899e-01;9.45414650e-01;9.42396618e-01;9.39978204e-01;9.38212254e-01;9.37137152e-01;9.36776183e-01;9.37137152e-01;9.38212254e-01;9.39978204e-01;9.42396618e-01;9.45414650e-01;9.48965899e-01;9.52971570e-01;9.57341919e-01;9.61977959e-01;9.66773439e-01;9.71617070e-01;9.76394991e-01;9.80993419e-01;9.85301441e-01;9.89213872e-01;9.92634098e-01;9.95476793e-01;9.97670421e-01;9.99159391e-01;9.99906599e-01;9.99999282e-01;9.99999997e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-5.41348576e-03;7.75767576e-07;1.56172086e-05;5.71381142e+05;5.51311620e+04;1.03751160e+04;8.75072632e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999995e-01;9.99999036e-01;9.99898846e-01;9.99100651e-01;9.97511015e-01;9.95170249e-01;9.92138940e-01;9.88494849e-01;9.84330415e-01;9.79749907e-01;9.74866355e-01;9.69798392e-01;9.64667132e-01;9.59593172e-01;9.54693802e-01;9.50080470e-01;9.45856531e-01;9.42115299e-01;9.38938392e-01;9.36394373e-01;9.34537656e-01;9.33407689e-01;9.33028365e-01;9.33407689e-01;9.34537656e-01;9.36394373e-01;9.38938392e-01;9.42115299e-01;9.45856531e-01;9.50080470e-01;9.54693802e-01;9.59593172e-01;9.64667132e-01;9.69798392e-01;9.74866355e-01;9.79749907e-01;9.84330415e-01;9.88494849e-01;9.92138940e-01;9.95170249e-01;9.97511015e-01;9.99100651e-01;9.99898846e-01;9.99999036e-01;9.99999995e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-5.78778318e-03;8.70453413e-07;1.74952833e-05;6.00418549e+05;6.12170354e+04;1.03751160e+04;8.32752421e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999993e-01;9.99998758e-01;9.99890472e-01;9.99037819e-01;9.97340761e-01;9.94843149e-01;9.91611065e-01;9.87729090e-01;9.83297421e-01;9.78428619e-01;9.73244150e-01;9.67870879e-01;9.62437659e-01;9.57072125e-01;9.51897767e-01;9.47031327e-01;9.42580555e-01;9.38642299e-01;9.35300933e-01;9.32627088e-01;9.30676666e-01;9.29490101e-01;9.29091850e-01;9.29490101e-01;9.30676666e-01;9.32627088e-01;9.35300933e-01;9.38642299e-01;9.42580555e-01;9.47031327e-01;9.51897767e-01;9.57072125e-01;9.62437659e-01;9.67870879e-01;9.73244150e-01;9.78428619e-01;9.83297421e-01;9.87729090e-01;9.91611065e-01;9.94843149e-01;9.97340761e-01;9.99037819e-01;9.99890472e-01;9.99998758e-01;9.99999993e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-6.20307700e-03;9.75790255e-07;1.95790616e-05;6.30357544e+05;6.78720232e+04;1.03751160e+04;7.93200629e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999989e-01;9.99998445e-01;9.99881429e-01;9.98970611e-01;9.97158932e-01;9.94494146e-01;9.91048389e-01;9.86913721e-01;9.82198799e-01;9.77025167e-01;9.71523359e-01;9.65829008e-01;9.60079129e-01;9.54408694e-01;9.48947572e-01;9.43817886e-01;9.39131773e-01;9.34989557e-01;9.31478269e-01;9.28670501e-01;9.26623535e-01;9.25378706e-01;9.24960980e-01;9.25378706e-01;9.26623535e-01;9.28670501e-01;9.31478269e-01;9.34989557e-01;9.39131773e-01;9.43817886e-01;9.48947572e-01;9.54408694e-01;9.60079129e-01;9.65829008e-01;9.71523359e-01;9.77025167e-01;9.82198799e-01;9.86913721e-01;9.91048389e-01;9.94494146e-01;9.97158932e-01;9.98970611e-01;9.99881429e-01;9.99998445e-01;9.99999989e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-6.66314603e-03;1.09281570e-06;2.18875039e-05;6.61161373e+05;7.51318967e+04;1.03751160e+04;7.56245026e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999985e-01;9.99998092e-01;9.99871665e-01;9.98898725e-01;9.96964750e-01;9.94121808e-01;9.90448706e-01;9.86045711e-01;9.81030709e-01;9.75534976e-01;9.69698785e-01;9.63667101e-01;9.57585532e-01;9.51596679e-01;9.45836959e-01;9.40433925e-01;9.35504075e-01;9.31151114e-01;9.27464609e-01;9.24518978e-01;9.22372755e-01;9.21068078e-01;9.20630356e-01;9.21068078e-01;9.22372755e-01;9.24518978e-01;9.27464609e-01;9.31151114e-01;9.35504075e-01;9.40433925e-01;9.45836959e-01;9.51596679e-01;9.57585532e-01;9.63667101e-01;9.69698785e-01;9.75534976e-01;9.81030709e-01;9.86045711e-01;9.90448706e-01;9.94121808e-01;9.96964750e-01;9.98898725e-01;9.99871665e-01;9.99998092e-01;9.99999985e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-7.17199739e-03;1.22264154e-06;2.44407165e-05;6.92785040e+05;8.30317865e+04;1.03751160e+04;7.21724591e-10;1.00000000e-10;1.28000000e-08
6;64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999980e-01;9.99997696e-01;9.99861124e-01;9.98821835e-01;9.96757386e-01;9.93724614e-01;9.89809684e-01;9.85121871e-01;9.79789134e-01;9.73953286e-01;9.67765060e-01;9.61379340e-01;9.54950761e-01;9.48629840e-01;9.42559682e-01;9.36873298e-01;9.31691482e-01;9.27121199e-01;9.23254395e-01;9.20167152e-01;9.17919112e-01;9.16553102e-01;9.16094897e-01;9.16553102e-01;9.17919112e-01;9.20167152e-01;9.23254395e-01;9.27121199e-01;9.31691482e-01;9.36873298e-01;9.42559682e-01;9.48629840e-01;9.54950761e-01;9.61379340e-01;9.67765060e-01;9.73953286e-01;9.79789134e-01;9.85121871e-01;9.89809684e-01;9.93724614e-01;9.96757386e-01;9.98821835e-01;9.99861124e-01;9.99997696e-01;9.99999980e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-7.73386069e-03;1.36645481e-06;2.72599218e-05;7.25174937e+05;9.16056211e+04;1.03751160e+04;6.89488804e-10;1.00000000e-10;1.28000000e-08
