A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 1.28e-8
duration = 1e-5
l = 1.5e-06
m = 12
t_grid = 100000
t_skip = 16
tol_energy = 2e-7
tol_phi = 5e-4
tol_stability = 0.2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.15600383e-02;4.35396234e-07;9.82332175e-06;2.36309253e+06;inf;5.25240248e+04;2.11587144e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99926358e-01;9.93836693e-01;9.80132538e-01;9.63870481e-01;9.50977190e-01;9.46097450e-01;9.50977190e-01;9.63870481e-01;9.80132538e-01;9.93836693e-01;9.99926358e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.31479682e-02;5.06087044e-07;1.13971681e-05;2.52664699e+06;1.05744320e+06;5.25240248e+04;1.97890723e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99919940e-01;9.93306625e-01;9.78474283e-01;9.60961493e-01;9.47142474e-01;9.41927219e-01;9.47142474e-01;9.60961493e-01;9.78474283e-01;9.93306625e-01;9.99919940e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.49717725e-02;5.87518247e-07;1.32047969e-05;2.69817944e+06;1.21336755e+06;5.25240248e+04;1.85310137e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99912964e-01;9.92731631e-01;9.76684162e-01;9.57838618e-01;9.43043418e-01;9.37476618e-01;9.43043418e-01;9.57838618e-01;9.76684162e-01;9.92731631e-01;9.99912964e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.70620585e-02;6.81144292e-07;1.52765438e-05;2.87757640e+06;1.38925889e+06;5.25240248e+04;1.73757333e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99905379e-01;9.92108024e-01;9.74752801e-01;9.54489404e-01;9.38667290e-01;9.32733200e-01;9.38667290e-01;9.54489404e-01;9.74752801e-01;9.92108024e-01;9.99905379e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2.94523933e-02;7.88575827e-07;1.76456784e-05;3.06463777e+06;1.58698847e+06;5.25240248e+04;1.63151419e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99897133e-01;9.91431830e-01;9.72670348e-01;9.50901190e-01;9.34001565e-01;9.27684912e-01;9.34001565e-01;9.50901190e-01;9.72670348e-01;9.91431830e-01;9.99897133e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.21793670e-02;9.11587531e-07;2.03484663e-05;3.25906796e+06;1.80845274e+06;5.25240248e+04;1.53418095e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99888169e-01;9.90698780e-01;9.70426479e-01;9.47061187e-01;9.29034073e-01;9.22320248e-01;9.29034073e-01;9.47061187e-01;9.70426479e-01;9.90698780e-01;9.99888169e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.52826034e-02;1.05212432e-06;2.34241796e-05;3.46046793e+06;2.05553748e+06;5.25240248e+04;1.44489130e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99878424e-01;9.89904284e-01;9.68010411e-01;9.42956581e-01;9.23753149e-01;9.16628424e-01;9.23753149e-01;9.42956581e-01;9.68010411e-01;9.89904284e-01;9.99878424e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-3.88047071e-02;1.21230548e-06;2.69150453e-05;3.66832804e+06;2.33007469e+06;5.25240248e+04;1.36301878e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99867830e-01;9.89043414e-01;9.65410926e-01;9.38574644e-01;9.18147802e-01;9.10599556e-01;9.18147802e-01;9.38574644e-01;9.65410926e-01;9.89043414e-01;9.99867830e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.27911356e-02;1.39442617e-06;3.08661176e-05;3.88202257e+06;2.63379243e+06;5.25240248e+04;1.28798839e-10;1.00000000e-10;1.28000000e-08
4;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99856314e-01;9.88110891e-01;9.62616399e-01;9.33902857e-01;9.12207898e-01;9.04224854e-01;9.12207898e-01;9.33902857e-01;9.62616399e-01;9.88110891e-01;9.99856314e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-4.72899855e-02;1.60095578e-06;3.53250666e-05;4.10080592e+06;2.96825802e+06;5.25240248e+04;1.21927253e-10;1.00000000e-10;1.28000000e-08
