A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 0
delta = 0.001
dt_max = 1.28e-8
duration = 2e-3
l = 1.5e-06
m = 12
t_grid = 20000000
t_skip = 4096
tol_energy = 2e-7
tol_phi = 5e-4
tol_stability = 0.2
width = 3.2e-5
x_grid = 64
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 3.2e-5 * 0.42]:				1
	[3.2e-5 * 0.42, 3.2e-5 * 0.58]:		1 - 0.05 * 0.5 * (1 + cos((x / 3.2e-5 - 0.5) / 0.08 * pi))
	[3.2e-5 * 0.58, inf]:				1
t_0 = 0.00000000e+00

12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932261e-01;9.94325261e-01;9.81667819e-01;9.66577754e-01;9.54560380e-01;9.50000000e-01;9.54560380e-01;9.66577754e-01;9.81667819e-01;9.94325261e-01;9.99932261e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471692e-02;4.35396234e-07;9.82332175e-06;8.37934086e+01;inf;5.25240248e+04;1.28000000e-08;1.00000000e-10;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932251e-01;9.94324387e-01;9.81663719e-01;9.66564492e-01;9.54533232e-01;9.49965649e-01;9.54533232e-01;9.66564492e-01;9.81663719e-01;9.94324387e-01;9.99932251e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471799e-02;4.35963820e-07;9.83367439e-06;8.39365275e+01;6.31005664e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932241e-01;9.94323513e-01;9.81659617e-01;9.66551218e-01;9.54506044e-01;9.49931239e-01;9.54506044e-01;9.66551218e-01;9.81659617e-01;9.94323513e-01;9.99932241e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16471905e-02;4.36532749e-07;9.84404699e-06;8.40800574e+01;6.32029151e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932231e-01;9.94322639e-01;9.81655514e-01;9.66537933e-01;9.54478817e-01;9.49896771e-01;9.54478817e-01;9.66537933e-01;9.81655514e-01;9.94322639e-01;9.99932231e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472012e-02;4.37103026e-07;9.85443960e-06;8.42239999e+01;6.33122027e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932221e-01;9.94321764e-01;9.81651410e-01;9.66524635e-01;9.54451550e-01;9.49862243e-01;9.54451550e-01;9.66524635e-01;9.81651410e-01;9.94321764e-01;9.99932221e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472120e-02;4.37674655e-07;9.86485229e-06;8.43683566e+01;6.34162861e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932211e-01;9.94320890e-01;9.81647304e-01;9.66511327e-01;9.54424244e-01;9.49827656e-01;9.54424244e-01;9.66511327e-01;9.81647304e-01;9.94320890e-01;9.99932211e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472227e-02;4.38247641e-07;9.87528512e-06;8.45131293e+01;6.35221042e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932201e-01;9.94320015e-01;9.81643196e-01;9.66498006e-01;9.54396898e-01;9.49793010e-01;9.54396898e-01;9.66498006e-01;9.81643196e-01;9.94320015e-01;9.99932201e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472335e-02;4.38821990e-07;9.88573815e-06;8.46583195e+01;6.36279224e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932191e-01;9.94319140e-01;9.81639087e-01;9.66484674e-01;9.54369511e-01;9.49758304e-01;9.54369511e-01;9.66484674e-01;9.81639087e-01;9.94319140e-01;9.99932191e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472443e-02;4.39397705e-07;9.89621144e-06;8.48039290e+01;6.37372100e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932181e-01;9.94318265e-01;9.81634976e-01;9.66471330e-01;9.54342085e-01;9.49723538e-01;9.54342085e-01;9.66471330e-01;9.81634976e-01;9.94318265e-01;9.99932181e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472551e-02;4.39974791e-07;9.90670504e-06;8.49499595e+01;6.38395586e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
12;4096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9.99932171e-01;9.94317390e-01;9.81630864e-01;9.66457974e-01;9.54314618e-01;9.49688713e-01;9.54314618e-01;9.66457974e-01;9.81630864e-01;9.94317390e-01;9.99932171e-01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.16472659e-02;4.40553255e-07;9.91721902e-06;8.50964126e+01;6.39488462e-04;5.25240248e+04;1.28000000e-08;1.28000000e-08;1.28000000e-08
