A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
delta = 0.001
dt_max = 2.86e-8
duration = 5e-7
l = 1.5e-06
m = 1
t_grid = 5000
t_skip = 1
tol_energy = 5e-4
tol_phi = 1e-4
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 2.00000000e-05

1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950272e-01;9.97539596e-01;9.40724179e-01;8.11067848e-01;6.39040769e-01;4.47347371e-01;2.05655523e-01;4.47347371e-01;6.39040769e-01;8.11067848e-01;9.40724179e-01;9.97539596e-01;9.99950272e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31620460e-02;9.12077079e-05;6.80934577e-04;1.57602920e+05;inf;6.34506012e-10;1.00000000e-10
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950271e-01;9.97539587e-01;9.40724166e-01;8.11067817e-01;6.39040613e-01;4.47346565e-01;2.05639763e-01;4.47346565e-01;6.39040613e-01;8.11067817e-01;9.40724166e-01;9.97539587e-01;9.99950271e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31633026e-02;9.12105869e-05;6.80936229e-04;1.57647959e+05;1.25210157e+04;6.34324737e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950271e-01;9.97539579e-01;9.40724153e-01;8.11067787e-01;6.39040456e-01;4.47345759e-01;2.05623998e-01;4.47345759e-01;6.39040456e-01;8.11067787e-01;9.40724153e-01;9.97539579e-01;9.99950271e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31645599e-02;9.12134668e-05;6.80937880e-04;1.57693027e+05;1.25281303e+04;6.34143450e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950271e-01;9.97539570e-01;9.40724140e-01;8.11067756e-01;6.39040300e-01;4.47344952e-01;2.05608229e-01;4.47344952e-01;6.39040300e-01;8.11067756e-01;9.40724140e-01;9.97539570e-01;9.99950271e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31658180e-02;9.12163475e-05;6.80939532e-04;1.57738123e+05;1.25352516e+04;6.33962151e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950270e-01;9.97539561e-01;9.40724127e-01;8.11067725e-01;6.39040143e-01;4.47344146e-01;2.05592455e-01;4.47344146e-01;6.39040143e-01;8.11067725e-01;9.40724127e-01;9.97539561e-01;9.99950270e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31670768e-02;9.12192292e-05;6.80941185e-04;1.57783249e+05;1.25423794e+04;6.33780840e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950270e-01;9.97539552e-01;9.40724114e-01;8.11067695e-01;6.39039987e-01;4.47343340e-01;2.05576677e-01;4.47343340e-01;6.39039987e-01;8.11067695e-01;9.40724114e-01;9.97539552e-01;9.99950270e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31683363e-02;9.12221117e-05;6.80942837e-04;1.57828403e+05;1.25495138e+04;6.33599517e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950269e-01;9.97539543e-01;9.40724101e-01;8.11067664e-01;6.39039830e-01;4.47342533e-01;2.05560894e-01;4.47342533e-01;6.39039830e-01;8.11067664e-01;9.40724101e-01;9.97539543e-01;9.99950269e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31695965e-02;9.12249952e-05;6.80944489e-04;1.57873586e+05;1.25566548e+04;6.33418181e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950269e-01;9.97539534e-01;9.40724088e-01;8.11067634e-01;6.39039674e-01;4.47341727e-01;2.05545107e-01;4.47341727e-01;6.39039674e-01;8.11067634e-01;9.40724088e-01;9.97539534e-01;9.99950269e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31708574e-02;9.12278795e-05;6.80946142e-04;1.57918799e+05;1.25638024e+04;6.33236834e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950269e-01;9.97539526e-01;9.40724075e-01;8.11067603e-01;6.39039517e-01;4.47340920e-01;2.05529315e-01;4.47340920e-01;6.39039517e-01;8.11067603e-01;9.40724075e-01;9.97539526e-01;9.99950269e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31721190e-02;9.12307648e-05;6.80947795e-04;1.57964040e+05;1.25709567e+04;6.33055474e-10;2.86000000e-08
1;1;1;1;1;1;1;1.00000000e+00;9.99999994e-01;9.99999353e-01;9.99950268e-01;9.97539517e-01;9.40724062e-01;8.11067573e-01;6.39039361e-01;4.47340114e-01;2.05513518e-01;4.47340114e-01;6.39039361e-01;8.11067573e-01;9.40724062e-01;9.97539517e-01;9.99950268e-01;9.99999353e-01;9.99999994e-01;1.00000000e+00;1;1;1;1;1;1;1;-1.31733814e-02;9.12336509e-05;6.80949448e-04;1.58009310e+05;1.25781175e+04;6.32874103e-10;2.86000000e-08
