A one-dimensional setting of the electrical breakdown problem

Phi_gradient = 5.625e+06
adaptation_type = 1
delta = 0.001
dt_max = 6.42e-6
duration = 5e-5
l = 1.5e-06
m = 12
t_grid = 500000
t_skip = 1
tol_energy = 2e-7
tol_phi = 1e-3
tol_stability = 1
width = 1.6e-5
x_grid = 32
x_skip = 1
Gamma() =
	[-inf, inf]:2.6 * 3.12228e-10
eps_0() =
	[-inf, inf]:2.6 * 8.85e-12
phi_0() =
	[-inf, 1.6e-5 * 0.34]:				1
	[1.6e-5 * 0.34, 1.6e-5 * 0.66]:		1 - 0.5 * 0.5 * (1 + cos((x / 1.6e-5 - 0.5) / 0.16 * pi))
	[1.6e-5 * 0.66, inf]:				1
t_0 = 0.00000000e+00

0;1;1;1;1;1;1;1;1;1;1;1;1;9.99322614e-01;9.43252613e-01;8.16678189e-01;6.65777537e-01;5.45603797e-01;5.00000000e-01;5.45603797e-01;6.65777537e-01;8.16678189e-01;9.43252613e-01;9.99322614e-01;1;1;1;1;1;1;1;1;1;1;1;-7.12449319e-03;4.35396234e-05;5.56547679e-04;5.83984482e+04;inf;5.06775474e+05;1.71237427e-08;1.00000000e-10;1.97326045e-06
0;1;1;1;1;1;1;1;1;1;1;1;9.99999999e-01;9.99322506e-01;9.43252464e-01;8.16677880e-01;6.65776150e-01;5.45599857e-01;4.99994160e-01;5.45599857e-01;6.65776150e-01;8.16677880e-01;9.43252464e-01;9.99322506e-01;9.99999999e-01;1;1;1;1;1;1;1;1;1;1;-7.12452796e-03;4.35404802e-05;5.56552652e-04;5.84013972e+04;2.89390113e+02;5.06803654e+05;1.71228780e-08;6.91108615e-10;1.97315073e-06
0;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999997e-01;9.99322398e-01;9.43252316e-01;8.16677571e-01;6.65774764e-01;5.45595917e-01;4.99988320e-01;5.45595917e-01;6.65774764e-01;8.16677571e-01;9.43252316e-01;9.99322398e-01;9.99999997e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12456273e-03;4.35413372e-05;5.56557626e-04;5.84043465e+04;2.89413871e+02;5.06831837e+05;1.71220133e-08;6.91051881e-10;1.97304101e-06
1;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999995e-01;9.99322182e-01;9.43252018e-01;8.16676952e-01;6.65771992e-01;5.45588036e-01;4.99976639e-01;5.45588036e-01;6.65771992e-01;8.16676952e-01;9.43252018e-01;9.99322182e-01;9.99999995e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12463228e-03;4.35430512e-05;5.56567573e-04;5.84102459e+04;2.89443576e+02;5.06888212e+05;1.71202840e-08;6.90980960e-10;1.97282157e-06
2;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999989e-01;9.99321751e-01;9.43251422e-01;8.16675715e-01;6.65766446e-01;5.45572274e-01;4.99953275e-01;5.45572274e-01;6.65766446e-01;8.16675715e-01;9.43251422e-01;9.99321751e-01;9.99999989e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12477140e-03;4.35464796e-05;5.56587469e-04;5.84220477e+04;2.89503000e+02;5.07000996e+05;1.71168256e-08;6.90839129e-10;1.97238271e-06
3;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999979e-01;9.99320887e-01;9.43250231e-01;8.16673241e-01;6.65755355e-01;5.45540745e-01;4.99906537e-01;5.45540745e-01;6.65755355e-01;8.16673241e-01;9.43250231e-01;9.99320887e-01;9.99999979e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12504975e-03;4.35533382e-05;5.56627264e-04;5.84456642e+04;2.89621902e+02;5.07226702e+05;1.71099091e-08;6.90555509e-10;1.97150504e-06
4;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999958e-01;9.99319160e-01;9.43247849e-01;8.16668293e-01;6.65733170e-01;5.45477670e-01;4.99813024e-01;5.45477670e-01;6.65733170e-01;8.16668293e-01;9.43247849e-01;9.99319160e-01;9.99999958e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12560686e-03;4.35670627e-05;5.56706871e-04;5.84929476e+04;2.89859929e+02;5.07678666e+05;1.70960781e-08;6.89988438e-10;1.96974990e-06
5;1;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999915e-01;9.99315706e-01;9.43243084e-01;8.16658394e-01;6.65688789e-01;5.45351451e-01;4.99625847e-01;5.45351451e-01;6.65688789e-01;8.16658394e-01;9.43243084e-01;9.99315706e-01;9.99999915e-01;1.00000000e+00;1;1;1;1;1;1;1;1;1;-7.12672270e-03;4.35945407e-05;5.56866149e-04;5.85877174e+04;2.90336875e+02;5.08584807e+05;1.70684240e-08;6.88854973e-10;1.96624041e-06
6;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999830e-01;9.99308798e-01;9.43233555e-01;8.16638591e-01;6.65599984e-01;5.45098738e-01;4.99250886e-01;5.45098738e-01;6.65599984e-01;8.16638591e-01;9.43233555e-01;9.99308798e-01;9.99999830e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.12896087e-03;4.36496131e-05;5.57184966e-04;5.87780724e+04;2.91294344e+02;5.10405994e+05;1.70131472e-08;6.86590744e-10;1.95922464e-06
7;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999658e-01;9.99294983e-01;9.43214492e-01;8.16598961e-01;6.65422198e-01;5.44592205e-01;4.98498526e-01;5.44592205e-01;6.65422198e-01;8.16598961e-01;9.43214492e-01;9.99294983e-01;9.99999658e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.13346342e-03;4.37602256e-05;5.57823638e-04;5.91620753e+04;2.93223707e+02;5.14084356e+05;1.69027201e-08;6.82073090e-10;1.94520605e-06
7;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999482e-01;9.99281170e-01;9.43195425e-01;8.16559281e-01;6.65244062e-01;5.44083447e-01;4.97741252e-01;5.44083447e-01;6.65244062e-01;8.16559281e-01;9.43195425e-01;9.99281170e-01;9.99999482e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.13800915e-03;4.38716651e-05;5.58464661e-04;5.95513642e+04;2.96349091e+02;5.17819587e+05;1.67922266e-08;6.74879750e-10;1.93117453e-06
7;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999303e-01;9.99267359e-01;9.43176353e-01;8.16519552e-01;6.65065573e-01;5.43572445e-01;4.96978994e-01;5.43572445e-01;6.65065573e-01;8.16519552e-01;9.43176353e-01;9.99267359e-01;9.99999303e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.14259879e-03;4.39839430e-05;5.59108054e-04;5.99460534e+04;2.99529321e+02;5.21613013e+05;1.66816653e-08;6.67714264e-10;1.91713008e-06
7;1;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999121e-01;9.99253550e-01;9.43157275e-01;8.16479773e-01;6.64886731e-01;5.43059177e-01;4.96211685e-01;5.43059177e-01;6.64886731e-01;8.16479773e-01;9.43157275e-01;9.99253550e-01;9.99999121e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;1;-7.14723311e-03;4.40970710e-05;5.59753838e-04;6.03462605e+04;3.02765785e+02;5.25466003e+05;1.65710351e-08;6.60576624e-10;1.90307269e-06
7;1;1;1;1;1;1;1;1;1;1.00000000e+00;9.99999999e-01;9.99998935e-01;9.99239743e-01;9.43138193e-01;8.16439945e-01;6.64707535e-01;5.42543625e-01;4.95439253e-01;5.42543625e-01;6.64707535e-01;8.16439945e-01;9.43138193e-01;9.99239743e-01;9.99998935e-01;9.99999999e-01;1.00000000e+00;1;1;1;1;1;1;1;1;-7.15191286e-03;4.42110609e-05;5.60402034e-04;6.07521065e+04;3.06059918e+02;5.29379969e+05;1.64603346e-08;6.53466815e-10;1.88900234e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99998746e-01;9.99225938e-01;9.43119105e-01;8.16400068e-01;6.64527982e-01;5.42025766e-01;4.94661626e-01;5.42025766e-01;6.64527982e-01;8.16400068e-01;9.43119105e-01;9.99225938e-01;9.99998746e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.15663884e-03;4.43259248e-05;5.61052662e-04;6.11637163e+04;3.09413203e+02;5.33356365e+05;1.63495624e-08;6.46384828e-10;1.87491903e-06
7;1;1;1;1;1;1;1;1;1.00000000e+00;1.00000000e+00;9.99999999e-01;9.99998553e-01;9.99212135e-01;9.43100012e-01;8.16360141e-01;6.64348071e-01;5.41505580e-01;4.93878730e-01;5.41505580e-01;6.64348071e-01;8.16360141e-01;9.43100012e-01;9.99212135e-01;9.99998553e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1;1;1;1;1;1;1;-7.16141186e-03;4.44416754e-05;5.61705745e-04;6.15812185e+04;3.12827173e+02;5.37396697e+05;1.62387173e-08;6.39330650e-10;1.86082275e-06
